LANGUAGE,"English","Czech","German","Polish","Russian","French","Spanish","Italian"
STR_WEST,"BLUFOR","BLUFOR","BLUFOR","Zachód","Союзники","BLUFOR","BLUFOR","BLUFOR"
STR_EAST,"OPFOR","OPFOR","OPFOR","Wschód","Противник","OPFOR","OPFOR","OPFOR"
STR_GUERRILA,"Independent","Nezávislí","Unabhängig","Ruch oporu","Сопротивление","Indépendant","Independiente","Indipendente"
STR_CIVILIAN,"Civilian","Civilisté","Zivilisten","Cywile","Гражданск.","Civil","Civil","Civile"
STR_LOGIC,"Game Logic","Logika hry","Spiellogik","Logika gry","Логика игры","Logique de jeu","Lógica del juego","Logica gioco"
STR_EMPTY,"Empty","Prázdný","Leer","Pusty","Пусто","Vide","Vacío","Vuoto"
STR_NOBODY,"Nobody","Nikdo","Niemand","Nikt","Нет","Personne","Nadie","Nessuno"
STR_PRIVATE,"Private","Vojín","Private","Szeregowy","Рядовой","Soldat","Soldado","Soldato semplice"
STR_CORPORAL,"Corporal","Svobodník","Corporal","Kapral","Капрал","Caporal","Cabo","Caporale"
STR_SERGEANT,"Sergeant","Četař","Sergeant","Sierżant","Сержант","Sergent","Sargento","Sergente"
STR_LIEUTENANT,"Lieutenant","Poručík","Lieutenant","Porucznik","Лейтенант","Lieutenant","Teniente","Tenente"
STR_CAPTAIN,"Captain","Kapitán","Captain","Kapitan","Капитан","Capitaine","Capitán","Capitano"
STR_MAJOR,"Major","Major","Major","Major","Майор","Commandant","Comandante","Maggiore"
STR_COLONEL,"Colonel","Plukovník","Colonel","Pułkownik","Полковник","Colonel","Coronel","Colonnello"
STR_GENERAL,"General","Generál","General","Generał","Генерал","Général","General","Generale"
STR_SHORT_PRIVATE,"Pvt","Voj","Pvt","Szer","Ряд","Sdt","Sld","Sold."
STR_SHORT_CORPORAL,"Corp","Svob","Corp","Kpr","Капр","Cpl","Cabo","Cap."
STR_SHORT_SERGEANT,"Sgt","Čet","Sgt","Sierż","Серж","Sgt","Srg","Serg."
STR_SHORT_LIEUTENANT,"Ltn","Por","Ltn","Por","Лейт","Lt","Tnt","Ten."
STR_SHORT_CAPTAIN,"Cpt","Kap","Cpt","Kpt","Кап","Cap","Cpt","Cap."
STR_SHORT_MAJOR,"Mjr","Maj","Mjr","Mjr","М-р","Com","Com","Magg."
STR_SHORT_COLONEL,"Col","Pluk","Col","Płk","Полк","Col","Crn","Col."
STR_SHORT_GENERAL,"Gen","Gen","Gen","Gen","Ген","Gén","Gen","Gen."
STR_SKILL_NOVICE,"Novice","Zelenáč","Neuling","Nowicjusz","Новичок","Novice","Aprendiz","Principiante"
STR_SKILL_ROOKIE,"Rookie","Nováček","Anfänger","Początkujący","Новобранец","Débutant","Principiante","Novellino"
STR_SKILL_RECRUIT,"Recruit","Rekrut","Rekrut","Rekrut","Рекрут","Recrue","Recluta","Recluta"
STR_SKILL_VETERAN,"Veteran","Veterán","Veteran","Weteran","Ветеран","Vétéran","Veterano","Veterano"
STR_SKILL_EXPERT,"Expert","Expert","Experte","Ekspert","Эксперт","Expert","Experto","Esperto"
STR_IGNORE,"Never fire","Střílet zakázáno","Nie schießen","Nigdy nie strzelać","Не стрелять","Ne jamais tirer","No disparar nunca","Non sparare mai"
STR_BYPASS,"Hold fire","Nestřílet","Feuerpause","Wstrzymać ogień","Прекратить огонь","Ne pas tirer","No disparar","Non sparare"
STR_WHITE,"Hold fire, Engage at will","Nestřílet, zaútočit dle vůle","Feuerpause, Eigenständiger Angriff","Wstrzymać ogień, atakować bez rozkazu","Не стрелять, огонь по желанию","Ne pas tirer, feu à volonté","No disparéis, ataque a discreción","Non sparare, fuoco a volontà"
STR_CONTACT,"Open fire","Zahájit palbu","Feuer eröffnen","Otworzyć ogień","Открыть огонь","Ouvrir le feu","Abrir fuego","Aprire il fuoco"
STR_ENGAGE,"Open fire, Engage at will","Zahájit palbu, zaútočit dle libosti","Feuer eröffnen, Eigenständiger Angriff","Otworzyć ogień, atakować bez rozkazu","Открыть огонь, огонь по желанию","Ouvrir le feu, feu à volonté","Abrir fuego, ataque a discreción","Aprire il fuoco, fuoco a volontà"
STR_COLUMN,"Column","Zástup","Kolonne","Kolumna","Колонна","Colonne","Columna","Colonna"
STR_STAGGERED,"Staggered Col.","Dvojstup","Gestaffelte Kol.","Nieregularna kol.","Колонна в шахматном порядке","Col. décalée","Col. escalonada","Col. frammentata"
STR_WEDGE,"Wedge","Klín","Keil","Klin","Клин","Coin","Cuña","Cuneo"
STR_ECHL,"Echelon L.","Odřad L.","Staffel links","Eszelon L.","Строй уступом влево","Échelon G","Escalón I.","Scaglione S"
STR_ECHR,"Echelon R.","Odřad P.","Staffel rechts","Eszelon P.","Строй уступом вправо","Échelon D","Escalón D.","Scaglione D"
STR_VEE,"Vee","Véčko","V-förmig","V","V-образно","V","Uve","V"
STR_LINE,"Line","Rojnice","Reihe","Linia","Строй","Ligne","Fila","Linea"
STR_FILE,"Column (compact)","Zástup (kompaktní)","Kolonne (kompakt)","Zwarta kolumna","Колонна (компакт.)","Colonne (resserrée)","Columna (compacta)","Colonna (compatta)"
STR_DIAMOND,"Delta","Delta","Delta","Delta","Треугольник","Delta","Delta","Delta"
STR_NOCOMMAND,"None","Žádný","Keine","Brak","Нет","Néant","Ninguna","Nessuno"
STR_WAIT,"Wait","Čekej","Warten","Czekać","Ждать","Attendre","Esperar","Aspettare"
STR_ATTACK,"Engage","Zaútoč","Angriff","Do ataku","Открыть огонь","Engager","Atacar","Ingaggiare"
STR_HIDE,"Find cover","Najdi kryt","Deckung suchen","Znaleźć osłonę","В укрытие","Se mettre à couvert","Buscar cubierto","Trovare riparo"
STR_MOVE,"Move","Přesun","Bewegen","Ruszać","Идти","Se déplacer","Avanzar","Muoversi"
STR_HEAL,"Heal","Ošetřit","Heilen","Wyleczyć","Лечить","Soigner","Curar","Curare"
STR_REPAIR,"Repair","Opravit","Reparieren","Naprawić","Чинить","Réparer","Reparar","Riparare"
STR_REFUEL,"Refuel","Natankovat","Auftanken","Uzupełnić paliwo","Заправить","Ravitailler","Repostar","Rifornire"
STR_REARM,"Rearm","Doplnit munici","Neu bewaffnen","Uzupełnić amunicję","Зарядить","Réarmer","Rearmar","Riarmare"
STR_SUPPORT,"Support","Podpora","Unterstützen","Wsparcie","Оказывать поддержку","Soutenir","Apoyo","Andare in supporto"
STR_JOIN,"Follow","Následuj","Folgen","Za mną","Следовать","Suivre","Seguir","Seguire"
STR_GETIN,"Mount","Nastup","Aufsteigen","Wsiadać","Транспорт","Embarquer","Montar","Salire"
STR_NAME,"Name","Název","Name","Name","Имя","Nommer","Nombrar","Nominare"
STR_FIRE,"Fire","Pal","Feuer","Ognia","Огонь","Tirer","Fuego","Sparare"
STR_GETOUT,"Disembark","Vystup","Verlassen","Wysiadać","Высадиться","Débarquer","Desembarcar","Scendere"
STR_STOP,"Stop","Stát","Halt","Stop","Стоять","Halte","Parar","Alt"
STR_EXPECT,"Wait for me","Počkej","Auf mich warten","Czekać na mnie","Ждать меня","M'attendre","Esperarme","Aspettarmi"
STR_ACTION,"Action","Akce","Aktion","Akcja","Действие","Action","Acción","Azione"
STR_AWAY,"Away","Daleko","Fort","Daleko","Вдали","Loin","Fuera","Lontano"
STR_FOLLOW_ME,"Return to Formation","Návrat do formace","Zurück in Formation","Wracać do szyku","Вернуться в строй","Retour à formation","Volver a la formación","Rit. in formazione"
STR_LEADER,"Leader","Velitel","Anführer","Dowódca","Лидер","Chef","Líder","Leader"
STR_WATCH,"Engage","Zaútoč","Angriff","Do ataku","Режим боя","Engager","Atacar","Ingaggiare"
STR_SCRIPTED,"Busy","V akci","Beschäftigt","Zajęty","Занят","Occupé","Ocupado","Impegnato"
STR_DISMISS,"Dismissed","Rozchod","Entlassen","Odrzucony","Разойдись","Écarté","Libre","Libero"
STR_STATE_NOCOMMAND,"None","Žádný","Keiner","Brak","Нет","Néant","Ninguno","Nessuno"
STR_STATE_WAIT,"Ready","Připraven","Bereit","Gotów","Готов","Prêt","Preparado","Pronto"
STR_STATE_ATTACK,"Engage","Zaútoč","Angriff","Do ataku","Атака","Engager","Atacar","Ingaggiare"
STR_STATE_HIDE,"Hide","Skrýt","Verstecken","Kryć się","Спрятаться","Cacher","Ocultar","Nascondersi"
STR_STATE_MOVE,"Move","Přesun","Bewegen","Naprzód","Двигаться","Se déplacer","Avanzar","Muoversi"
STR_STATE_HEAL,"Heal","Ošetřit","Heilen","Leczenie","Лечить","Soigner","Curar","Curare"
STR_STATE_REPAIR,"Repair","Opravit","Reparieren","Naprawa","Чиниться","Réparer","Reparar","Riparare"
STR_STATE_REFUEL,"Refuel","Natankovat","Auftanken","Uzupełnienie paliwa","Заправляться","Ravitailler","Repostar","Rifornire"
STR_STATE_REARM,"Rearm","Doplnit munici","Neu bewaffnen","Uzupełnienie amunicji","Перезаряжаться","Réarmer","Rearmar","Riarmare"
STR_STATE_SUPPORT,"Support","Podpora","Unterstützen","Wsparcie","Оказывать поддержку","Soutenir","Apoyo","Andare in supporto"
STR_STATE_JOIN,"Follow","Následuj","Folgen","Podążanie","Следовать","Suivre","Seguir","Seguire"
STR_STATE_GETIN,"Mount","Nastup","Aufsteigen","Wsiadać","Транспорт","Embarquer","Montar","Salire"
STR_STATE_FIRE,"Fire","Pal","Feuer","Ognia","Огонь","Tirer","Fuego","Sparare"
STR_STATE_GETOUT,"Disembark","Vystup","Verlassen","Wysiadać","Высадиться","Débarquer","Desembarcar","Scendere"
STR_STATE_STOP,"Stop","Stát","Stopp","Stop","Стоять","Halte","Parar","Alt"
STR_STATE_EXPECT,"Wait","Počkej","Warten","Czekanie","Ожидание","Attendre","Esperar","Aspettare"
STR_STATE_ACTION,"Action","Akce","Aktion","Akcja","Бой","Action","Acción","Azione"
STR_STATE_SCRIPTED,"Busy","V akci","Beschäftigt","Zajęty","Занят","Occupé","Ocupado","Impegnato"
STR_STATE_DISMISS,"Dismissed","Rozchod","Entlassen","Oddalił","Разойдись","Écarté","Libre","Libero"
STR_RADIO,"Radio","Vysílačka","Funk","Radio","Радио","Radio","Radio","Radio"
STR_RADIO_ALPHA,"Alpha","Alfa","Alpha","Alfa","Альфа","Alpha","Alpha","Alpha"
STR_RADIO_BRAVO,"Bravo","Bravo","Bravo","Bravo","Браво","Bravo","Bravo","Bravo"
STR_RADIO_CHARLIE,"Charlie","Charlie","Charlie","Charlie","Чарли","Charlie","Charlie","Charlie"
STR_RADIO_DELTA,"Delta","Delta","Delta","Delta","Дельта","Delta","Delta","Delta"
STR_RADIO_ECHO,"Echo","Echo","Echo","Echo","Эхо","Echo","Echo","Echo"
STR_RADIO_FOXTROT,"Foxtrot","Foxtrot","Foxtrot","Foxtrot","Фокстрот","Foxtrot","Foxtrot","Foxtrot"
STR_RADIO_GOLF,"Golf","Golf","Golf","Golf","Гольф","Golf","Golf","Golf"
STR_RADIO_HOTEL,"Hotel","Hotel","Hotel","Hotel","Хоутел","Hotel","Hotel","Hotel"
STR_RADIO_INDIA,"India","Indie","India","India","Индия","India","India","India"
STR_RADIO_JULIET,"Juliet","Juliet","Juliet","Juliet","Джульет","Juliett","Juliet","Juliet"
STR_UI_CARGO_INF,"Cargo infantry %d","Náklad pěchoty %d","Infanteriefracht %d","Transport piechoty %d","Пехота %d","Cargaison infanterie %d","Carga infantería %s","Cargo fanteria %d"
STR_UI_CARGO_FUEL,"Cargo fuel %.0f","Náklad paliva %.0f","Treibstoff-Fracht %.0f","Transport paliwa %.0f","Груз топлива %.0f","Cargaison carburant %.0f","Carga combust. %.0f","Cargo carburante %.0f"
STR_UI_CARGO_REPAIR,"Cargo repair %.0f","Náhradní díly %.0f","Reparaturfracht %.0f","Transport części %.0f","Груз запчастей %.0f","Cargaison dépannage %.0f","Carga reparar %.0f","Cargo riparazioni %.0f"
STR_UI_CARGO_AMMO,"Cargo ammo %.0f","Náklad munice %.0f","Munitionsfracht %.0f","Transport amunicji %.0f","Груз боеприпасов %.0f","Cargaison munitions %.0f","Carga mun. %.0f","Cargo munizioni %.0f"
STR_UI_SPEED,"Speed %.0f","Rychlost %.0f","Geschw. %.0f","Szybkość %.0f","Скорость %.0f","Vitesse %.0f","Velocidad %.0f","Velocità %.0f"
STR_UI_ALT,"Alt. %4.0f","Výška %4.0f","Höhe %4.0f","Wys. %4.0f","Выс. %4.0f","Alt. %4.0f","Alt. %4.0f","Alt. %4.0f"
STR_MPTABLE_NAME,"Player","Hráč","Spieler","Gracz","Игрок","Joueur","Jugador","Giocatore"
STR_MPTABLE_INFANTRY,"Infantry","Pěchota","Infanterie","Piechota","Пехота","Infanterie","Infantería","Fanteria"
STR_MPTABLE_SOFT,"Soft","Lehké","Ungepanzert","Nieopancerzone","Автомобили","Sans blindage","Ligero","Non blindati"
STR_MPTABLE_ARMORED,"Armored","Obrněné","Gepanzert","Opancerzone","Бронетехника","Blindé","Blindaje","Blindati"
STR_MPTABLE_AIR,"Air","Vzdušné","Luft","Powietrzne","Воздух","Aérien","Aire","D’aria"
STR_MPTABLE_PLAYERS,"Players","Hráči","Spieler","Gracze","Игроки","Joueurs","Jugadores","Giocatori"
STR_MPTABLE_TOTAL,"Total","Celkem","Gesamt","Razem","Всего","Total","Total","Totale"
STR_MPTABLE_KILLED,"Killed","Zabit","Getötet","Zabity","Убито","Tué(s)","Muerto","Uccisi"
STR_NO_ACTION,"No action available","Žádná akce k dispozici","Keine Aktion verfügbar","Brak dostępnych akcji","Нет доступных действий","Aucune action disponible","Ninguna acción disponible","Nessuna azione disponibile"
STR_ACTION_CANCEL_ACTION,"Cancel action","Zrušit akci","Aktion abbrechen","Anuluj akcję","Отменить действие","Annuler action","Cancelar acción","Annulla azione"
STR_ACTION_CANCEL_LAND,"Landing autopilot off","Vypnout autopilota","Lande-Autopilot aus","Lądowanie na autopilocie wyłączone","Отключить посадочный автопилот","Sans pilote auto. atterr.","Piloto automático desactivado","Pilota autom. atterr. disinserito"
STR_ACTION_DEACTIVATE,"Deactivate bomb","Deaktivovat bombu","Bombe deaktivieren","Rozbrój bombę","Обезвредить бомбу","Désamorcer bombe","Desactivar bomba","Disattiva bomba"
STR_ACTION_DEACTIVATE_MINE,"Deactivate mine","Deaktivovat mimu","Mine deaktivieren","Rozbrój minę","Обезвредить мину","Désamorcer mine","Desactivar mina","Disattiva mina"
STR_ACTION_DROPTAKEMAGAZINE,"Take %1 (drop %2)%3","Vezmi si %1 (polož %2)%3","%1 aufnehmen (%2 ablegen)%3","Weź %1 (wyrzuć %2)%3","Взять %1 (выбросить %2)%3","Prendre %1 (aband. %2)%3","Tomar %1 (soltar %2)%3","Prendi %1 (lascia %2)%3"
STR_ACTION_DROPTAKEWEAPON,"Take %1 (drop %2)%3","Vezmi si %1 (polož %2)%3","%1 aufnehmen (%2 ablegen)%3","Weź %1 (wyrzuć %2)%3","Взять %1 (выбросить %2)%3","Prendre %1 (aband. %2)%3","Tomar %1 (soltar %2)%3","Prendi %1 (lascia %2)%3"
STR_ACTION_DROP_MAGAZINE,"Drop %1","Polož %1","%1 ablegen","Wyrzuć %1","Выбросить %1","Abandonner %1","Soltar %1","Lascia %1"
STR_ACTION_DROP_WEAPON,"Drop %1","Polož %1","%1 ablegen","Wyrzuć %1","Выбросить %1","Abandonner %1","Soltar %1","Lascia %1"
STR_ACTION_EJECT,"Eject","Vyskočit","Abspringen","Wysiądź","Катапультироваться","Éjection","Extracción","Eiezione"
STR_ACTION_ENGINEOFF,"Engine off","Vypnout motor","Motor aus","Wyłącz silnik","Выключить двигатель","Moteur coupé","Motor apagado","Motore spento"
STR_ACTION_ENGINEON,"Engine on","Zapnout motor","Motor an","Włącz silnik","Включить двигатель","Moteur en route","Motor encendido","Motore acceso"
STR_ACTION_FIRE_INFLAME,"Light fire","Zapálit oheň","Feuer entzünden","Rozpal ogień","Зажечь огонь","Allumer incendie","Encender fuego","Accendi fuoco"
STR_ACTION_FIRE_PUT_DOWN,"Put out fire","Uhasit oheň","Feuer löschen","Zgaś ogień","Потушить огонь","Éteindre incendie","Apagar fuego","Spegni fuoco"
STR_ACTION_FLAPS_DOWN,"Flaps down","Klapky dolu","Landeklappen ausfahren","Wypuść klapy","Выпустить закрылки","Volets sortis","Bajar aletas","Deflettori giù"
STR_ACTION_FLAPS_UP,"Flaps up","Klapky nahoru","Landeklappen einfahren","Schowaj klapy","Убрать закрылки","Volets rentrés","Subir aletas","Deflettori su"
STR_USRACT_LEAN_LEFT_TOGGLE,"Lean left toggle","Přepínání vyklánění doleva","Nach links lehnen (umschalten)","Wychyl lewą dźwignię","Наклон влево (перекл.)","Bascule incl. G","Cambio giro izquierda","Cambio inclinaz. sinistra"
STR_USRACT_LEAN_RIGHT_TOGGLE,"Lean right toggle","Přepínání vyklánění doprava","Nach rechts lehnen (umschalten)","Wychyl prawą dźwignię","Наклон вправо (перекл.)","Bascule incl. D","Cambio giro derecha","Cambio inclinaz. destra"
STR_USRACT_HELI_LEFT,"Left turn","Zatočit doleva","Flugsteuerung: Links wenden","Skręt w lewo","Повернуть налево","Virage G","Giro izquierda","Virata a sinistra"
STR_USRACT_HELI_RIGHT,"Right turn","Zatočit doprava","Flugsteuerung: Rechts wenden","Skręt w prawo","Повернуть направо","Virage D","Giro derecha","Virata a destra"
STR_CANCEL_MENU,"","","","","","","",""
STR_RADIO_UNASSIGNED,"","","","","","","",""
STR_DIK_APOSTROPHE,"'","'","‘","'","'","Ã¹","Â´","'"
STR_VK_SHIFT_SELECTED,"","","","","","","",""
STR_VK_CAPSLOCK_SELECTED,"","","","","","","",""
STR_USRACT_GEAR,"Gear","Řadit","Ausrüstung","Wyposażenie","Шасси","Train","Equipo","Carrello"
STR_USRACT_TEAM_SWITCH_PREV,"Team switch to previous","Přepnout na předchozí jednotku","Zum vorherigen Team","Zmiana drużyny na poprzednią","Предыдущая роль","Passer à équipe préc.","Cambio a pelotón anterior","Cambio di squadra - prec."
STR_USRACT_TEAM_SWITCH_NEXT,"Team switch to next","Přepnout na další jednotku","Zum nächsten Team","Zmiana drużyny na następną","Следующая роль","Passer à équipe suiv.","Cambio a pelotón siguiente","Cambio di squadra - succ."
STR_ACTION_GEAR_DOWN,"Gear down","Vysunout podvozek","Fahrgestell ausfahren","Wypuść podwozie","Выпустить шасси","Train sorti","Bajar engranaje","Carrello giù"
STR_ACTION_GEAR_UP,"Gear up","Zasunout podvozek","Fahrgestell einziehen","Schowaj podwozie","Убрать шасси","Train rentré","Subir engranaje","Carrello su"
STR_ACTION_GETIN_CARGO,"Get in %1 ride in back","Nastup do %1 dozadu","Als Passagier in %1 einsteigen","Wsiądź do %1 i jedź z tyłu","Забраться в %1 в грузовой отсек","Grimper dans %1 - à l'arrière","Subir detrás del %1","Sali su %1 e viaggia dietro"
STR_ACTION_GETIN_COMMANDER,"Get in %1 as commander","Nastup do %1 jako velitel","Als Kommandant in %1 einsteigen","Wsiądź do %1 jako dowódca","Сесть в %1 на место командира","Grimper dans %1 - chef de bord","Subir al %1, ofical al mando","Sali su %1 come comandante"
STR_ACTION_GETIN_DRIVER,"Get in %1 as driver","Nastup do %1 jako řidič","Als Fahrer in %1 einsteigen","Wsiądź do %1 jako kierowca","Сесть в %1 на место водителя","Grimper dans %1 - conducteur","Subir al %1, conductor","Sali su %1 come guidatore"
STR_ACTION_GETIN_GUNNER,"Get in %1 as gunner","Nastup do %1 jako střelec","Als Bordschütze in %1 einsteigen","Wsiądź do %1 jako strzelec","Сесть в %1 на место стрелка","Grimper dans %1 - tireur","Subir al %1, artillero","Sali su %1 come artigliere"
STR_ACTION_GETIN_PILOT,"Get in %1 as pilot","Nastup do %1 jako pilot","Als Pilot in %1 einsteigen","Wsiądź do %1 jako pilot","Сесть в %1 на место пилота","Grimper dans %1 - pilote","Subir al %1, piloto","Sali su %1 come pilota"
STR_ACTION_GETOUT,"Get out","Vystup","Aussteigen","Wysiądź","Выйти","Sortir","Salir","Scendi"
STR_ACTION_HEAL,"Heal at %1","Ošetři se u %1","Heilen bei %1","Wylecz w %1","Лечиться: %1","Soigner à %1","Curar en %1","Cura a %1"
STR_ACTION_HIDE_BODY,"Hide body","Schovat mrtvolu","Leiche verbergen","Ukryj zwłoki","Спрятать тело","Cacher corps","Ocultar cuerpo","Nascondi corpo"
STR_ACTION_HIDE_WEAPON,"Hide %1","Schovat %1","%1 verstecken","Ukryj %1","Спрятать %1","Cacher %1","Ocultar %1","Nascondi %1"
STR_ACTION_HOVER,"Auto-hover On","Zapnout stabilizaci","Automatischer Schwebeflug ein","Autozawis","Автозависание","Vol stat. auto.","Planeo automático activado","Autolibrazione"
STR_ACTION_HOVER_CANCEL,"Auto-hover Off","Vypnout stabilizaci","Automatischer Schwebeflug aus","Anuluj autozawis","Отменить автозависание","Annuler vol stat. auto.","Planeo automático desactivado","Disattiva autolibrazione"
STR_ACTION_INGAME_MENU,"Command menu","Velitelské menu","Befehlsmenü","Menu dowodzenia","Меню команд","Menu d'ordres","Menú de órdenes","Menu di comando"
STR_ACTION_LADDERDOWN,"Climb Ladder Down","Slézt po zebriku","Leiter herabsteigen","Zejdź po drabinie","Спуститься по лестнице","Descendre échelle","Bajar escalera","Scendi la scala"
STR_ACTION_LADDEROFF,"Drop Down Ladder","Pusť žebřík","Leiter loslassen","Wyrzuć drabinę","Сбросить лестницу","Lâcher échelle","Soltar escalera","Butta giù la scala"
STR_ACTION_LADDERON,"Grasp Ladder","Chytit zebřík","Leiter greifen","Złap drabinę","Схватить лестницу","Saisir échelle","Agarrar escalera","Afferra la scala"
STR_ACTION_LADDERUP,"Climb Ladder Up","Vylézt po zebříku","Leiter hochsteigen","Wejdź po drabinie","Подняться по лестнице","Grimper échelle","Subir escalera","Sali la scala"
STR_ACTION_LAND,"Landing autopilot","Přistávací autopilot","Lande-Autopilot an","Lądowanie na autopilocie","Посадочный автопилот","Pilote auto. atterr.","Aterrizaje automático","Pilota autom. atterr."
STR_ACTION_LIGHTOFF,"Light off","Zhasnout světla","Licht aus","Wyłącz światła","Отключить огни","Phares éteints","Apagar luz","Luci spente"
STR_ACTION_LIGHTON,"Light on","Rozsvítit světla","Licht ein","Włącz światła","Включить огни","Phares","Encender luz","Luci accese"
STR_ACTION_MAGAZINE,"Reload %1","Dobít %1","Nachladen %1","Przeładuj %1","Зарядить %1","Recharger %1","Recargar %1","Ricarica %1"
STR_ACTION_MANUAL_FIRE,"Manual fire","Manuální střelba","Manuelles Feuern","Ogień ręczny","Режим самостоятельного огня","Tir manuel","Fuego manual","Fuoco manuale"
STR_ACTION_MANUAL_FIRE_CANCEL,"Cancel manual fire","Zrušit manuální střelbu","Manuelles Feuern abbrechen","Anuluj ogień ręczny","Отключить режим самостоятельного огня","Annuler tir manuel","Cancelar fuego manual","Disattiva fuoco manuale"
STR_ACTION_MARK_ENTITY,"Collect from %1","Sebrat z %1","Von %1 aufnehmen","Weź od %1","Собрать из %1","Récupérer sur %1","Recoger de %1","Raccogli da %1"
STR_ACTION_MARK_WEAPON,"Collect weapon","Sebrat zbraň","Waffe aufnehmen","Weź broń","Подобрать оружие","Récupérer arme","Recoger arma","Raccogli arma"
STR_ACTION_DIARY,"Show diary","Zobrazit diář","Tagebuch zeigen","Pokaż pamiętnik","Показать дневник","Afficher journal","Mostrar diario","Mostra diario"
STR_ACTION_PUT_MAGAZINE,"Put %1 to %2","Dát %1 do %2","%1 in %2 legen","Włóż %1 do %2","Вставить %1 в %2","Installer %1 sur %2","Poner %1 a %2","Metti %1 in %2"
STR_ACTION_PUT_WEAPON,"Put %1 to %2","Dát %1 do %2","%1 in %2 legen","Włóż %1 do %2","Вставить %1 в %2","Installer %1 sur %2","Poner %1 a %2","Metti %1 in %2"
STR_ACTION_REARM,"Rearm at %1","Doplň střelivo u %1","Neu bewaffnen bei %1","Uzupełnij amunicję %1","Перезарядиться (%1)","Réarmer à %1","Rearmar en %1","Riarma a %1"
STR_ACTION_REFUEL,"Refuel at %1","Natankovat u %1","Auftanken bei %1","Uzupełnij paliwo w %1","Заправиться: %1","Ravitailler à %1","Repostar en %1","Rifornisci a %1"
STR_ACTION_REPAIR,"Repair at %1","Oprav se u %1","Reparieren bei %1","Dokonaj napraw w  %1","Починиться в %1","Réparer à %1","Reparar en %1","Ripara a %1"
STR_ACTION_RETURNFLAG,"Return Flag","Vrať vlajku","Fahne zurückbringen","Zwróć flagę","Вернуть флаг","Rapporter drapeau","Devolver bandera","Riporta bandiera"
STR_ACTION_SALUTE,"Salute","Zasalutovat","Salutieren","Salut","Отдать честь","Saluer","Saludar","Saluta"
