STR_XBOX_LIVE_STATS_SCONTROL,"MP - SControl",French,Italian,Spanish,German,Czech, TODO Translate
STR_XBOX_LIVE_STATS_HOLD,"MP - Hold",French,Italian,Spanish,German,Czech, TODO Translate
STR_XBOX_LIVE_STATS_UNKNOWN,"MP - Unknown",French,Italian,Spanish,German,Czech, TODO Translate
STR_XBOX_LIVE_STATS_MPTOTAL,"MP - Total",French,Italian,Spanish,German,Czech, TODO Translate
STR_XBOX_LIVE_STATS_DDSERVER,"Dedicated server hosting",French,Italian,Spanish,German,Czech, TODO Translate

STR_XBOX_WIZARD_EDIT,Edit Mission Settings,French,Italian,Spanish,German,Czech, TODO Translate
STR_XBOX_MP_CONNECTED, Connected Players,French,Italian,Spanish,German,Czech, TODO Translate

COMMENT,********TOOLTIPS ON CONTROLER********

STR_XBOX_CONTROLER_SCHEME_DEFAULT,"Default scheme",French,Italian,Spanish,German,Czech, TODO Translate
STR_XBOX_CONTROLER_SCHEME_STICK,"Reverted sticks",French,Italian,Spanish,German,Czech, TODO Translate
STR_XBOX_CONTROLER_SCHEME_TRIGGERS,"Reverted triggers",French,Italian,Spanish,German,Czech, TODO Translate


STR_XBOX_CONTROLER_MOVE, "Move",French,Italian,Spanish,German,Czech, TODO Translate
STR_XBOX_CONTROLER_AIM,"Aim",French,Italian,Spanish,German,Czech, TODO Translate
STR_XBOX_CONTROLER_CHARACTERS,"Characters",French,Italian,Spanish,German,Czech, TODO Translate
STR_XBOX_CONTROLER_VEHICLE_GROUND,"Ground vehicles",French,Italian,Spanish,German,Czech, TODO Translate
STR_XBOX_CONTROLER_AIR,"Aircraft",French,Italian,Spanish,German,Czech, TODO Translate

COMMENT,***** Added after 03/12/2003 *****
COMMENT, ******** Section without english correction follows **********

STR_XBOX_WIZARD_MY_MISSIONS,My missions,French,Italian,Spanish,German,Czech, TODO Translate
STR_XBOX_LIVE_STATS_CAMPAIN1985,SP - Campaign Cold War Crisis,French,Italian,Spanish,German,Czech, TODO Translate

STR_INTEL_DATE_FORMAT,"%m/%d/%Y","%m/%d/%Y","%m/%d/%Y","%m/%d/%Y","%m/%d/%Y","%m/%d/%Y"
STR_INTEL_TIME_FORMAT,"%H:%M:%S","%H:%M:%S","%H:%M:%S","%H:%M:%S","%H:%M:%S","%H:%M:%S"

STR_LOAD_FAILED,Unable to load '%s'.,Chargement de '%s' impossible.,Impossibile caricare '%s'.,Imposible cargar '%s'.,'%s' kann nicht geladen werden.,Czech, TODO Translate

STR_XBOX_CREDITS,%1 Credits,%1 Crédits,%1 Titoli di coda,%1 Colaboradores,%1 Mitarbeiter,%1 Credits

STR_XBOX_HINT_IGNORE,%1 Ignore,French,Italian,Spanish,German,Czech, TODO Translate
STR_XBOX_HINT_REMOVE,%1 Remove,French,Italian,Spanish,German,Czech, TODO Translate
STR_XBOX_QUESTION_DELETE_SAVE,You're attempting to delete saved game '%s'. Are you sure?,French,Italian,Spanish,German,Czech, TODO Translate

STR_MSG_DISK_FULL_T,Your Xbox console does not have enough free blocks to download this content. Please free %d blocks.,French,Italian,Spanish,German,Czech, TODO Translate
STR_MSG_DISK_FULL_U,Your Xbox doesn’t have enough free blocks to save games. Please free %d blocks.,French,Italian,Spanish,German,Czech, TODO Translate
STR_XBOX_HINT_FREE_BLOCKS,%1 Free blocks,French,Italian,Spanish,German,Czech, TODO Translate

STR_XBOX_INTERUPTED_ABORT_MOVIE, "%1 Abort Movie",French,Italian,Spanish,German,Czech, TODO Translate

STRN_X_MISSION_SNIPER,Sniper,French,Italian,Spanish,German,Czech, TODO Translate
STRN_X_MISSION_VULCAN,Vulcan ,French,Italian,Spanish,German,Czech, TODO Translate
STRN_X_MISSION_KILL_THEM_ALL,Kill Them All,French,Italian,Spanish,German,Czech, TODO Translate
STRN_X_MISSION_CONVOY,Convoy,French,Italian,Spanish,German,Czech, TODO Translate
STRN_X_MISSION_TANK_GUNNER,Tank Gunner,French,Italian,Spanish,German,Czech, TODO Translate
STRN_X_MISSION_RACE,Race,French,Italian,Spanish,German,Czech, TODO Translate

STR_UNLOCKED_CAMPAIGN, "Campaign Resistance unlocked!",French,Italian,Spanish,German,Czech, TODO Translate

STR_MP_TIMEOUT_CLIENT,Connection lost with host,French,Italian,Spanish,German,Czech, TODO Translate
STR_MP_KICKED_CLIENT,You was kicked off,French,Italian,Spanish,German,Czech, TODO Translate
STR_MP_BANNED_CLIENT,You was banned,French,Italian,Spanish,German,Czech, TODO Translate
