LANGUAGE,"Czech","Polish"
STR_BYPASS,"Nest¯Ìlet","WstrzymaÊ ogieÒ"
STR_WHITE,"Nest¯Ìlet, formace voln·","WstrzymaÊ ogieÒ, moøna atakowaÊ"
STR_CONTACT,"St¯Ìlet norm·lnÏ","OtworzyÊ ogieÒ"
STR_ENGAGE,"St¯Ìlet norm·lnÏ, formace voln·","StrzelaÊ, moøna atakowaÊ"
STR_OPEN_FIRE,"St¯Ìlet","OtworzyÊ ogieÒ"
STR_HOLD_FIRE,"Nest¯Ìlet","WstrzymaÊ ogieÒ"
STR_STEALTH,"Ukr˝v·nÌ","Ukradkiem"
STR_COMBAT,"NebezpeËÌ","NiebezpieczeÒstwo"
STR_AWARE,"OpatrnÏ","Uwaga"
STR_SAFE,"BezpeËno","Bezpiecznie "
STR_COMBAT_MODE,"Reûim","Rozkaz"
STR_POS_UP,"Vztyk","BacznoúÊ"
STR_POS_DOWN,"K zemi","Padnij"
STR_POS_AUTO,"Kr˝t se","KryÊ siÍ"

STR_COLUMN,"Kolona","Kolumna"
STR_STAGGERED,"Dvojit· kolona","Kolumna nieregularna"
STR_WEDGE,"KlÌn","Klin"
STR_ECHL,"Sled vlevo","Schody w lewo"
STR_ECHR,"Sled vpravo.","Schody w prawo"
STR_VEE,"VÈËko","Romb"
STR_LINE,"Rojnice","Szereg"
STR_DISENGAGE,"St·hnout se","OdstπpiÊ"
STR_ENGAGE_AT_WILL,"⁄toËit dle libosti","Moøna atakowaÊ"
STR_ENGAGE_NOW,"⁄toËit","AtakowaÊ"

COMMENT,"Stav","Stan rozkazÛw"
STR_STATE_NOCOMMAND,"é·dn˝","Brak"
STR_STATE_WAIT,"P¯ipraven","GotÛw"
STR_STATE_ATTACK,"⁄tok","Atakuje"
STR_STATE_HIDE,"Skryt˝","Ukryty"
STR_STATE_MOVE,"P¯esun","Ruch"
STR_STATE_HEAL,"LÈËenÌ","Leczenie"
STR_STATE_REPAIR,"Oprava","Naprawa"
STR_STATE_REFUEL,"DoplnÏnÌ paliva","Tankowanie"
STR_STATE_REARM,"DoplnÏnÌ st¯eliva","Dozbrajanie"
STR_STATE_SUPPORT,"Podpora","Wsparcie"
STR_STATE_JOIN,"N·sledovat","Drugi rzut"
STR_STATE_GETIN,"N·stup","Wchodzi"
STR_STATE_FIRE,"St¯elba","Strzela"
STR_STATE_GETOUT,"V˝stup","Wychodzi"
STR_STATE_STOP,"StojÌ","Stoi"
STR_STATE_EXPECT,"»ek·","Czeka"
STR_STATE_ACTION,"»innost","Dzia≥a"


COMMENT,"Rozkaz","Rozkaz"

STR_NOCOMMAND,"é·dn˝","Brak"
STR_WAIT,"»ekej","CzekaÊ"
STR_ATTACK,"⁄toË na","AtakowaÊ"
STR_HIDE,"Najdi kryt","ZnaleüÊ kryjÛwkÍ"
STR_MOVE,"P¯esun","Ruch"
STR_HEAL,"Uzdrav","LeczyÊ"
STR_REPAIR,"Oprav","NaprawiÊ"
STR_REFUEL,"DoplÚ palivo","TankowaÊ"
STR_REARM,"DoplÚ st¯elivo","DozbroiÊ"
STR_SUPPORT,"Podpo¯","WspieraÊ"
STR_JOIN,"N·sleduj","Drugi rzut"
STR_GETIN,"Nastup","WsiπúÊ"
STR_FIRE,"St¯Ìlej","Foxtrot"
STR_GETOUT,"Vystup","Wy≥adowaÊ"
STR_STOP,"Zastav","StaÊ"
STR_EXPECT,"PoËkej","Czekaj na mnie"
STR_ACTION,"»innost","Dzia≥anie"

STR_WATCH,"Pozoruj","AtakowaÊ"
STR_WATCH_AROUND,"RozhlÌûej se","RozejrzeÊ siÍ"
STR_WATCH_AUTO,"é·dn˝ cÌl","Brak celu"
STR_ADVANCE,"Vp¯ed","NaprzÛd"
STR_STAY_BACK,"Z˘stat vzadu","ZostaÊ z ty≥u"
STR_FLANK_LEFT,"Uhnout vlevo","ObejúÊ z lewej"
STR_FLANK_RIGHT,"Uhnout vpravo","ObejúÊ z prawej"
STR_NEXT_WAYPOINT,"DalöÌ orient.bod","NastÍpny punkt trasy"

STR_AWAY,"Daleko","Daleko"
STR_FOLLOW_ME,"ZpÏt do formace","PowrÛt do formacji"
STR_CEASE_FIRE,"Zastavit palbu","WstrzymaÊ ogieÒ"

STR_LEADER,"Velitel","DowÛdca"

STR_RADIO_CUSTOM,"VlastnÌ","W≥asny"

STR_RADIO,"R·dio","Radio"
STR_RADIO_ALPHA,"Alfa","Alpha"
STR_RADIO_BRAVO,"Bravo","Bravo"
STR_RADIO_CHARLIE,"Charlie","Charlie"
STR_RADIO_DELTA,"Delta","Delta"
STR_RADIO_ECHO,"Echo","Echo"
STR_RADIO_FOXTROT,"Foxtrot","Foxtrot"
STR_RADIO_GOLF,"Golf","Golf"
STR_RADIO_HOTEL,"Hotel","Hotel"

COMMENT,"HernÌ rozhranÌ","InGameUI"
STR_UI_HBAR,"ZdravÌ","Kondycja"
STR_UI_ABAR,"PancÌ¯","Pancerz"
STR_UI_FBAR,"Palivo","Paliwo"
STR_UI_EBAR,"HodnocenÌ","Ocena"

STR_UI_CARGO_INF,"P¯ev·ûen· pÏchota %d","Przewoøona piechota %d"
STR_UI_CARGO_FUEL,"N·klad paliva %.0f","Zapas paliwa %.0f"
STR_UI_CARGO_REPAIR,"N·hradnÌ dÌly %.0f","Zapas napraw %.0f"
STR_UI_CARGO_AMMO,"N·klad munice %.0f","Zapas amunicji %.0f"
STR_UI_SPEED,"Rychlost %.0f","SzybkoúÊ %.0f"
STR_UI_ALT,"V˝öka %.0f","Wys. %.0f"

COMMENT,"Statistiky hry vÌce hr·Ë˘","Statystyka gry wieloosobowej"
STR_MPTABLE_NAME,"Hr·Ë","Gracz"
STR_MPTABLE_INFANTRY,"PÏchota","Piechota"
STR_MPTABLE_SOFT,"LehkÈ","Lekkie"
STR_MPTABLE_ARMORED,"ObrnÏnÈ","Pancerne"
STR_MPTABLE_AIR,"VzduönÈ","Powietrzne"
STR_MPTABLE_PLAYERS,"Hr·Ëi","Gracze"
STR_MPTABLE_TOTAL,"Celkem","W sumie"
STR_MPTABLE_KILLED,"Zabit","Zabici"

COMMENT,"»innosti","Dzia≥ania"
STR_NO_ACTION,"é·dn· Ëinnost nenÌ dostupn·","Brak dostÍpnych dzia≥aÒ"
STR_ACTION_GETIN_COMMANDER,"Nastoupit - %s jako velitel","%s - Wsiπdü jako dowÛdca"
STR_ACTION_GETIN_DRIVER,"Nastoupit - %s jako ¯idiË","%s - Wsiπdü jako kierowca"
STR_ACTION_GETIN_PILOT,"Nastoupit - %s jako pilot","%s - Wsiπdü jako pilot"
STR_ACTION_GETIN_GUNNER,"Nastoupit - %s jako st¯elec","%s - Wsiπdü jako strzelec"
STR_ACTION_GETIN_CARGO,"Nastoupit - %s jako pasaûÈr","%s - Wsiπdü jako pasaøer"
STR_ACTION_HEAL,"Oöet¯it se - %s","Lecz siÍ w %s"
STR_ACTION_REPAIR,"Opravit se - %s","Napraw w %s"
STR_ACTION_REFUEL,"DoplÚit palivo - %s","Zatankuj w %s"
STR_ACTION_REARM,"DoplÚit munici - %s","Weü amunicjÍ w %s"
STR_ACTION_GETOUT,"Vystoupit","Wyjdü "
STR_ACTION_LIGHTON,"RozsvÌtit svÏtla","ZapaliÊ úwiat≥a"
STR_ACTION_LIGHTOFF,"Zhasnout svÏtla","ZgasiÊ úwiat≥a"
STR_ACTION_ENGINEON,"Nastartovat","W≥πczyÊ silnik"
STR_ACTION_ENGINEOFF,"Vypnout motor","Wy≥πczyÊ silnik"
STR_ACTION_WEAPON,"ZbraÚ - %s","%s"
STR_ACTION_MAGAZINE,"NabÌt %s","Na≥adowaÊ %s"
STR_ACTION_TAKEWEAPON,"VzÌt - %s","WziπÊ %s"
STR_ACTION_DROPTAKEWEAPON,"VzÌt - %s (poloûit %s)","WziπÊ %s (zostawiÊ %s)"
STR_ACTION_TAKEMAGAZINE,"VzÌt - %s","WziπÊ %s"
STR_ACTION_DROPTAKEMAGAZINE,"VzÌt - %s (poloûit %s)","WziπÊ %s (zostawiÊ %s)"
STR_ACTION_TAKEFLAG,"Sebrat vlajku","WziπÊ flagÍ"
STR_ACTION_RETURNFLAG,"Vr·tit vlajku","OddaÊ flagÍ"
STR_ACTION_TURNIN,"Zav¯Ìt poklop","ZamknπÊ w≥az"
STR_ACTION_TURNOUT,"Otev¯Ìt poklop","WyjrzeÊ przez w≥az"
STR_ACTION_WEAPONINHAND,"%s do ruky","%s do rπk"
STR_ACTION_WEAPONONBACK,"%s na z·da","%s na plecy"
STR_ACTION_SITDOWN,"Sednout","SiadaÊ"
STR_ACTION_EJECT,"VyskoËit","WyskoczyÊ"
STR_ACTION_LAND,"Zapnout autopilota","LπdowaÊ z autopilotem"
STR_ACTION_CANCEL_LAND,"Vypnout autopilota","Wy≥πczyÊ autopilota"
STR_ACTION_TO_DRIVER,"Na mÌsto ridiËe","Na miejsce kierowcy"
STR_ACTION_TO_PILOT,"Na mÌsto pilota","Na miejsce pilota"
STR_ACTION_TO_GUNNER,"Na mÌsto st¯elce","Na miejsce strzelca"
STR_ACTION_TO_COMMANDER,"Na mÌsto velitele","Na miejsce dowÛdcy"
STR_ACTION_TO_CARGO,"Dozadu","Z ty≥u"
STR_ACTION_HIDE_BODY,"Zahrabat tÏlo","PogrzebaÊ cia≥o"
STR_ACTION_TOUCH_OFF,"Odp·lit %d bomb(u/y)","OdpaliÊ bomby"
STR_ACTION_START_TIMER,"Nastav ËasovaË na %.0f vte¯in","NastawiÊ stoper na (%.0f sek.)"
STR_ACTION_SET_TIMER,"Nastav ËasovaË +%.0f vte¯in (%.0f zb˝v·)","NastawiÊ stoper +%.0f sek. (%.0f do koÒca)"
STR_ACTION_DEACTIVATE,"Deaktivovat bombu","RozbroiÊ bombÍ"

STR_ACTION_TAKEOFF_GOGGLES,"Sundat noËnÌ vidÏnÌ","ZdjπÊ noktowizor"
STR_ACTION_TAKEON_GOGGLES,"Nasadit noËnÌ vidÏnÌ","Za≥oøyÊ noktowizor"
STR_ACTION_MANUAL_FIRE,"RuËnÌ st¯elba","W≥πczyÊ rÍcznπ kontrolÍ ognia"
STR_ACTION_MANUAL_FIRE_CANCEL,"Zruöit ruËnÌ st¯elbu","Wy≥πczyÊ rÍcznπ kontrolÍ ognia"
STR_ACTION_HOVER,"Stabiliz·tor","Automatyczny zawis"
STR_ACTION_HOVER_CANCEL,"Vypnout stabiliz·tor","Wy≥πczyÊ automatyczny zawis"
STR_ACTION_STROKEFIST,"Ude¯ pÏstÌ","UderzyÊ piÍúciπ"
STR_ACTION_STROKEGUN,"Ude¯ puökou","UderzyÊ karabinem"

STR_ACTION_LADDERUP,"VylÈzt po ûeb¯Ìku","WejúÊ po drabinie"
STR_ACTION_LADDERDOWN,"SlÈzt po ûeb¯Ìku","ZejúÊ po drabinie"
STR_ACTION_LADDERON,"Chytit ûeb¯Ìk","ChwyciÊ drabinÍ"
STR_ACTION_LADDEROFF,"Pustit ûeb¯Ìk","PuúciÊ drabinÍ"

STR_ACTION_FIRE_INFLAME,"Zap·lit oheÚ","RozpaliÊ ogieÒ"
STR_ACTION_FIRE_PUT_DOWN,"Uhasit oheÚ","ZgasiÊ ogieÒ"
STR_ACTION_GEAR_UP,"Zat·hnout podvozek","WciπgnπÊ podwozie"
STR_ACTION_GEAR_DOWN,"Vysunout podvozek","OpuúciÊ podwozie"
STR_ACTION_FLAPS_UP,"Klapky nahoru","PodnieúÊ klapy"
STR_ACTION_FLAPS_DOWN,"Klapky dol˘","OpuúciÊ klapy"

STR_USRACT_MOVE_FORWARD,"Vp¯ed","NaprzÛd"
STR_USRACT_MOVE_BACK,"Dozadu","W ty≥"
STR_USRACT_TURN_LEFT,"⁄krok vlevo","Krok w lewo"
STR_USRACT_TURN_RIGHT,"⁄krok vpravo","Krok w prawo"
STR_USRACT_MOVE_UP,"Nahoru","W gÛrÍ"
STR_USRACT_MOVE_DOWN,"Dol˘","W dÛ≥"
STR_USRACT_FAST_FORWARD,"Rychle vp¯ed","Szybko naprzÛd"
STR_USRACT_SLOW_FORWARD,"Pomalu vp¯ed","Powoli naprzÛd"
STR_USRACT_MOVE_LEFT,"OtoËenÌ vlevo","ObrÛt w lewo"
STR_USRACT_MOVE_RIGHT,"OtoËenÌ vpravo","ObrÛt w prawo"
STR_USRACT_TOGGLE_WEAPONS,"ZmÏnit zbraÚ","ZmieniÊ broÒ"
STR_USRACT_FIRE,"St¯elba","Ognia"
STR_USRACT_RELOAD_MAGAZINE,"V˝mÏna z·sobnÌku","ZmieniÊ magazynek"
STR_USRACT_LOCK_TARGETS,"DalöÌ cÌl","NastÍpny cel"
STR_USRACT_LOCK_TARGET,"ZamÏ¯it cÌl","NamierzyÊ cel"
STR_USRACT_REVEAL_TARGET,"Odhalit cÌl","OdkryÊ cel"
STR_USRACT_PREV_ACTION,"P¯edeöl· akce","Poprzednie dzia≥anie"
STR_USRACT_NEXT_ACTION,"DalöÌ akce","NastÍpne dzia≥anie"
STR_USRACT_ACTION,"ProvedenÌ akce","WykonaÊ dzia≥anie"
STR_USRACT_HEADLIGHTS,"Zap./Vyp. svÏtla","Reflektory w≥πcz/wy≥πcz"
STR_USRACT_NIGHT_VISION,"NoËnÌ vidÏnÌ","Noktowizor"
STR_USRACT_BINOCULAR,"Dalekohled","Lornetka"
STR_USRACT_COMPASS,"Kompas","Kompas"
STR_USRACT_WATCH,"Hodinky","Zegarek"
STR_USRACT_MAP,"Mapa","Mapa"
STR_USRACT_HELP,"PoslednÌ n·povÏda","Ostatnia podpowiedü"
STR_USRACT_TIME_INC,"ZrychlenÌ Ëasu","Przyspieszenie czasu"
STR_USRACT_TIME_DEC,"ZpomalenÌ Ëasu","Zwolnienie czasu"
STR_USRACT_OPTICS,"Optika","Perspektywa"
STR_USRACT_PERSON_VIEW,"Pohled z 1os./3 os.","Widok 1 / 3 osoby"
STR_USRACT_TACTICAL_VIEW,"Taktick˝ pohled","Widok taktyczny"
STR_USRACT_ZOOM_IN,"P¯iblÌûenÌ pohledu","Zbliøenie widoku"
STR_USRACT_ZOOM_OUT,"Odd·lenÌ pohledu","Oddalenie widoku"
STR_USRACT_LOOK_ARROUND,"RozhlÌûenÌ","Oglπd"
STR_USRACT_LOOK_ARROUND_TOGGLE,"VolnÈ rozhlÌûenÌ","Swobodne patrzenie"
STR_USRACT_LOOK_LEFT_DOWN,"Pohled vlevo dol˘","SpojrzeÊ w lewo w dÛ≥"
STR_USRACT_LOOK_DOWN,"Pohled dol˘","SpojrzeÊ w dÛ≥"
STR_USRACT_LOOK_RIGHT_DOWN,"Pohled vpravo dol˘","SpojrzeÊ w prawo w dÛ≥"
STR_USRACT_LOOK_LEFT,"Pohled vlevo","SpojrzeÊ w lewo"
STR_USRACT_LOOK_CENTER,"Vyst¯edit pohled","SpojrzeÊ przed siebie"
STR_USRACT_LOOK_RIGHT,"Pohled vpravo","SpojrzeÊ w prawo"
STR_USRACT_LOOK_LEFT_UP,"Pohled vlevo nahoru","SpojrzeÊ w lewo w gÛrÍ"
STR_USRACT_LOOK_UP,"Pohled nahoru","SpojrzeÊ w gÛrÍ"
STR_USRACT_LOOK_RIGHT_UP,"Pohled vpravo nahoru","SpojrzeÊ w prawo w gÛrÍ"
STR_USRACT_PREV_CHANNEL,"P¯edchozÌ kan·l","Poprzedni kana≥"
STR_USRACT_NEXT_CHANNEL,"N·sledujÌcÌ kan·l","NastÍpny kana≥"
STR_USRACT_CHAT,"Chat","Chat"
STR_USRACT_VOICE_OVER_NET,"Voice Over Net","G≥os przez sieÊ"
STR_USRACT_NETWORK_STATS,"Statistiky sÌùovÈ hry","Stat.gry wieloosobowej"
STR_USRACT_NETWORK_PLAYERS,"Seznam hr·Ë˘","Lista graczy"
STR_USRACT_SELECT_ALL,"Vybrat vöechny jednotky","Wszystkie jednostki"
STR_USRACT_TURBO,"Turbo","Turbo"

STR_DIFF_ARMOR,"Zv˝öen· odolnost","Rozbudowany pancerz"
STR_DIFF_FRIENDLY_TAG,"Info o p¯·telÌch","Identyfikator swoich"
STR_DIFF_ENEMY_TAG,"Info o nep¯·telÌch","Identyfikator obcych"
STR_DIFF_HUD,"RozöÌ¯en˝ HUD","Rozszerzony HUD "
STR_DIFF_AUTO_SPOT,"Automat. hl·öenÌ","Meldunek automatyczny"
STR_DIFF_MAP,"RozöÌ¯en· mapa","Rozszerzona mapa"
STR_DIFF_WEAPON_CURSOR,"Z·mÏrn˝ k¯Ìû zbranÏ","Krzyø celownika broni"
STR_DIFF_AUTO_GUIDE_AT,"Samonav·dÏnÌ AT","Samonaprawadzanie AT"
STR_DIFF_CLOCK_INDICATOR,"Ukazatel hodin","Wskaünik zegara"


COMMENT,"Form·t mÏny","Format walut"
STR_CURRENCY_NONE,"NIC","NIC"
STR_CURRENCY_LOT,"NEOMEZENÃ","BEZ OGRANICZE—"
STR_CURRENCY_BLANK,",.",""
STR_CURRENCY_FORMAT,"%s KË","%s z≥"

COMMENT,"StandardnÌ zobrazovanÈ hodnoty","Domyúlne wartoúci ekranÛw"
STR_NEW_GAME,"*** Nov· hra ***","*** Nowa gra ***"
STR_PLAY_WEST,"Hr·t za Z·pad","GraÊ jako zachÛd"
STR_PLAY_EAST,"Hr·t za V˝chod","GraÊ jako wschÛd"
STR_PLAY_GUERRILA,"Hr·t za partyz·ny","GraÊ jako partyzanci"
STR_ARCUNIT_TITLE2,"Vloûte jednotku","Wstaw jednostkÍ"
STR_ARCUNIT_TITLE4,"Upravte jednotku","Zmodyfikuj jednostkÍ"
STR_ARCWP_TITLE1,"Vloûte bod trasy ","Wstaw punkt trasy"
STR_ARCWP_TITLE2,"Upravte bod trasy","Zmodyfikuj punkt trasy"
STR_ARCSENS_TITLE1,"Vloûte spÌnaË","Wstaw wyzwalacz"
STR_ARCSENS_TITLE2,"Upravte spÌnaË","Zmodyfikuj wyzwalacz"
STR_ARCMARK_TITLE1,"Vloûte znaËku","Wstaw znak"
STR_ARCMARK_TITLE2,"Upravte znaËku","Zmodyfikuj znak"
STR_ARCMARK_TYPE1,"Obr·zek:","Obrazek:"
STR_ARCMARK_TYPE2,"V˝plÚ:","Wype≥nienie:"
STR_MAIN_PLAYER,"Hr·Ë: %s","GRACZ: %s"
STR_MAIN_RANK,"%s Ian Gastovski","%s Ian Gastovski"
STR_MAIN_MISSION,"Mise: %s","Misja: %s"
STR_NONPLAYABLE,"NehratelnÈ","Nie do grania"
STR_PLAYER,"Hr·Ë","Gracz"
STR_PLAYER_COMMANDER,"Hr·Ë jako velitel","Gracz jako dowÛdca"
STR_PLAYER_DRIVER,"Hr·Ë jako ¯idiË","Gracz jako kierowca"
STR_PLAYER_PILOT,"Hr·Ë jako pilot","Gracz jako pilot"
STR_PLAYER_GUNNER,"Hr·Ë jako st¯elec","Gracz jako strzelec"
STR_PLAYABLE,"HratelnÈ","Do grania"
STR_PLAYABLE_C,"HratelnÈ jako velitel","Do gry jako dowÛdca"
STR_PLAYABLE_D,"HratelnÈ jako ¯idiË","Do gry jako kierowca"
STR_PLAYABLE_P,"HratelnÈ jako pilot","Do gry jako pilot"
STR_PLAYABLE_G,"HratelnÈ jako st¯elec","Do gry jako strzelec"
STR_PLAYABLE_CD,"HratelnÈ jako velitel a ¯idiË","Do gry jako dowÛdca, kierowca"
STR_PLAYABLE_CP,"HratelnÈ jako velitel a pilot","Do gry jako dowÛdca, pilot"
STR_PLAYABLE_CG,"HratelnÈ jako velitel a st¯elec","Do gry jako dowÛdca, strzelec"
STR_PLAYABLE_DG,"HratelnÈ jako ¯idiË a st¯elec","Do gry jako kierowca, strzelec"
STR_PLAYABLE_PG,"HratelnÈ jako pilot a st¯elec","Do gry jako pilot, strzelec"
STR_PLAYABLE_CDG,"HratelnÈ jako velitel, ¯idiË a st¯elec","Do gry jako dowÛdca, kierowca, strzelec"
STR_PLAYABLE_CPG,"HratelnÈ jako velitel, pilot a st¯elec","Do gry jako dowÛdca, pilot, strzelec"
STR_STAT_MISSION,"Statistika mise:","Statystyka misji"
STR_STAT_TOTAL,"Celkov· statistika:","Statystyka ≥πczna"
STR_STAT_YOU,"BYL JSI ZABIT %d KR¡T.","ZABITO CI  %d RAZY."
STR_STAT_GRP,"TV¡ SKUPINA ZTRATILA %d JEDNOTEK.","TWOJA GRUPA STRACI£A %d JEDNOSTEK."
STR_TEMPL_MERGE,"P¯ipojit misi","Scal misje"
STR_SOUND_NONE,"éadn˝ zvuk","Bez düwiÍku"
STR_MUSIC_NONE,"éadn· hudba","Bez muzyki"
STR_MUSIC_SILENCE,"Ticho","Cisza"
STR_NO_CHANGE,"Beze zmÏny","Bez zmian"
STR_CAMPAIGN_NEW,"Nov· kampaÚ","Nowa kampania"
STR_CAMPAIGN_MIS_TITLE,"%s - %s - statistika mise","%s - %s - Statystyka misji"
STR_SURE,"UrËitÏ?","Na pewno?"
STR_HOUSE_POSITION,"Pozice Ë.%d","Pozycja #%d"
STR_SENSOR,"SPÕNA»","WYZWALACZ"
STR_RADIO_UNASSIGNED,",",""
STR_CAMPAIGN_START,"Spustit kampaÚ","RozpoczπÊ kampaniÍ"
STR_CAMPAIGN_RETRY,"Opakovat misi","PowtÛrzenie misji"
STR_CAMPAIGN_CONTINUE,"PokraËovat","Kontynuuj"
STR_MULTI_LAN,"LAN","LAN"
STR_MULTI_REMOTE,"Adresa","Zdalny"
STR_MULTI_TITLE_LAN,"SÌùovÈ hry na LANu","Gry sieciowe przez LAN"
STR_MULTI_TITLE_REMOTE,"SÌùovÈ hry na %s","Gry sieciowe na %s"
STR_SESSION_NAME_FORMAT,"%s na %s","%s na %s"
STR_PLAYER_AI,"AI","SI"
STR_PLAYER_NONE,"NIKDO","NIKT"
STR_POSITION_COMMANDER,"velitel","dowÛdca"
STR_POSITION_DRIVER,"¯idiË","kierowca"
STR_POSITION_PILOT,"pilot","pilot"
STR_POSITION_GUNNER,"st¯elec","strzelec"
STR_POSITION_LEADER,", velitel skupiny",", dowÛdca grupy"
STR_DIFF_CADET,"ObtÌûnost: Kadet","StopieÒ trudnoúci: Kadet"
STR_DIFF_VETERAN,"ObtÌûnost: Veter·n","StopieÒ trudnoúci: Weteran"
STR_EXPORT_NONE,"Uûivatelsk· mise","Misja uøytkownika"
STR_EXPORT_SINGLE,"Exportovat jako single misi ","Eksport jako misja samodzielna"
STR_EXPORT_MULTI,"Exportovat jako sÌùovou misi","Eksport jako misja sieciowa"
STR_EXPORT_MAIL,"Poslat e-mailem","Wys≥aÊ przez e-mail"
STR_VERSION_INFO,"Verze: %s","Wersja: %s"
STR_EDITOR_EASY,"Jednoduch˝","£atwy"
STR_EDITOR_ADVANCED,"PokroËil˝","Zaawansowany"
STR_EMPTY_SLOT,"Nic","Pusty"
STR_NOT_ASSIGNED,"<Nep¯i¯azeno>","<Bez przydzia≥u>"
STR_MPROLE_TITLE_WEST,"P¯Ìprava Z·padu","Parametry Zachodu"
STR_MPROLE_TITLE_EAST,"P¯Ìprava V˝chodu","Parametry Wschodu"
STR_MPROLE_TITLE_RESIST,"P¯Ìprava partyz·n˘","Parametry PartyzantÛw"
STR_MPROLE_TITLE_CIVIL,"P¯Ìprava civilist˘","Parametry Cywili"
STR_MPROLE_POOL_WEST,"Z·pad:","Do dyspozycji:"
STR_MPROLE_POOL_EAST,"V˝chod:","Do dyspozycji:"
STR_MPROLE_POOL_RESIST,"Partyz·ni:","Do dyspozycji:"
STR_MPROLE_POOL_CIVIL,"CivilistÈ:","Do dyspozycji:"
STR_MPROLE_ENABLE,"Povolit","PozwoliÊ"
STR_MPROLE_DISABLE,"Zak·zat","ZakazaÊ"
STR_NEWUSER_TITLE1,"Nov˝ hr·Ë","Nowy gracz"
STR_NEWUSER_TITLE2,"Uprav hr·Ëe","Zmodyfikuj gracza"
STR_CONFIG_YNORMAL,"Osa Y standardnÌ","Oú y normalnie"
STR_CONFIG_YREVERSED,"Osa Y p¯evr·cen·","Oú y odwrÛcona"
STR_CONFIG_JOYSTICK_DISABLED,"Joystick zak·z·n","Joystick wy≥πczony"
STR_CONFIG_JOYSTICK_ENABLED,"Joystick povolen","Joystick w≥πczony"
STR_OPT_SUBTITLES_DISABLED,"Titulky vypnuty","Napisy dialogowe wy≥πczone"
STR_OPT_SUBTITLES_ENABLED,"Titulky zapnuty","Napisy dialogowe w≥πczone"
STR_OPT_RADIO_DISABLED,"Titulky r·dia vypnuty","Teksty rozmÛw radiowych wy≥."
STR_OPT_RADIO_ENABLED,"Titulky r·dia zapnuty","Teksty rozmÛw radiowych w≥."
STR_SINGLE_PLAY,"Hr·t","GraÊ"
STR_SINGLE_RESUME,"PokraËovat (%d/%d/%d %d:%02d)","KontynuowaÊ (%d/%d/%d %d:%02d)"
STR_SINGLE_RESTART,"Znovu","Od nowa"
STR_CAMPAIGN_BEGIN,"ZaËÌt","RozpoczπÊ"
STR_CAMPAIGN_RESTART,"Vr·tit se","PowrÛt"
STR_CAMPAIGN_RESUME,"PokraËovat","KontynuowaÊ"
STR_CAMPAIGN_LB_CONTINUE,"- pokraËovat (%d/%d/%d %d:%02d)","- kontynuowaÊ (%d/%d/%d %d:%02d)"
