STR_UI_EBAR,"Rating","Hodnocení","Bewertung","Ocena","Рейтинг","Classement","Nivel","Grado"
STR_MAP_NOTES,"Notes","Poznámky","Notizen","Notatki","Заметки","Notes","Notas","Note"
STR_MAP_PLAN,"Plan","Plán","Plan","Plan","План","Plan","Plan","Piano"
STR_MAP_GEAR,"Gear","Výstroj","Ausrüstung","Wyposażenie","Снаряжение","Matériel","Equipamiento","Equipaggiamento"
STR_MAP_GROUP,"Group","Skupina","Gruppe","Grupa","Группа","Groupement","Grupo","Gruppo"
STR_MAP_DNOTES,"Notes","Poznámky","Notizen","Notatki","Заметки","Notes","Notas","Note"
STR_MAP_DLOG,"Summary","Shrnutí","Zusammenfassung","Podsumowanie","Обзор","Résumé","Resumen","Descrizione"
STR_MM_UNITS,"Units:","Jednotky:","Einheiten:","JEDNOSTKI:","Юниты:","Unités :","Unidades:","Unità:"
STR_MM_POSITION,"Position %s","Pozice %s","Position %s","POZYCJA %s","ПОЗИЦИЯ %s","Position %s","Posición %s","Posizione %s"
STR_MM_LOCATION,"Location %s","Umístění %s","Lage %s","LOKACJA %s","ЛОКАЦИЯ %s","Lieu %s","Situación %s","Luogo %s"
STR_MM_CHECKPOINT,"Checkpoint","Kontrolní kóta","Kontrollpunkt","PUNKT KONTROLNY","КОНТРОЛЬНАЯ ТОЧКА","Point de contrôle","Punto de control","Checkpoint"
STR_MM_NORMAL,"- %s","- %s","- %s","- %s","- %s","- %s","- %s","- %s"
STR_MM_AWAY,"- %s (Away)","- %s (Vzdálená)","- %s (abwesend)","- %s (Odległy)","- %s (Сброс)","- %s (loin)","- %s (alejado)","- %s (lontano)"
STR_MM_CARGO,"- %s (in Cargo)","- %s (Naložená)","- %s (im Frachtraum)","- %s (w ładowni)","- %s (в грузовом отсеке)","- %s (en cargaison)","- %s (en carga)","- %s (sul cargo)"
STR_MM_LEADERAWAY,"%s (Away)","%s (Vzdálená)","%s (abwesend)","%s (Odległy)","%s (Сброс)","%s (loin)","%s (alejado)","%s (lontano)"
STR_DISP_OK,"OK","OK","OK","OK","ОК","OK","Aceptar","OK"
STR_DISP_CLOSE,"Close","Zavři","Schließen","Zamknij","Закрыть","Fermer","Cerrar","Chiudi"
STR_DISP_NEW,"New","Nový","Neu","Nowy","Нов.","Nouv.","Nuevo","Nuovo"
STR_DISP_DELETE,"Delete","Smazat","Löschen","Usuń","Удалить","Suppr.","Borrar","Cancella"
STR_DISP_EDIT,"Edit","Změnit","Bearbeiten","Edytuj","Правка","Modifier","Editar","Modifica"
STR_DISP_ERROR,"ERROR - replace","CHYBA - nahradit","FEHLER - ersetzen","BŁĄD - zamień","ОШИБКА – необходима замена","ERREUR - remplacer","ERROR - reemplazar","ERRORE - sostituisci"
STR_DISP_MAIN_GAME,"Campaign Game","Kampaň","Kampagne","KAMPANIA","КАМПАНИЯ","Campagne","Partida de campaña","Nome campagna"
STR_DISP_MAIN_OPTIONS,"Options","Možnosti","Optionen","OPCJE","НАСТРОЙКИ","Options","Opciones","Opzioni"
STR_DISP_MAIN_SINGLE,"Single Mission","Mise","Einzeleinsatz","POJEDYNCZA MISJA","ОДИНОЧНОЕ ЗАДАНИЕ","Mission solo","Misión individual","Missione a 1 giocatore"
STR_DISP_MAIN_CUSTOM,"Mission Editor","Editor misí","Editor","EDYTOR MISJI","РЕДАКТОР ЗАДАНИЙ","Éditeur mission","Editor de misiones","Editor missione"
STR_DISP_MAIN_MULTI,"Multiplayer","Hra po síti","Mehrspieler","GRA WIELOOSOBOWA","МНОГОПОЛЬЗОВАТЕЛЬСКАЯ ИГРА","Multijoueur","Multijugador","Multigiocatore"
STR_DISP_MAIN_QUIT,"Quit Game","Konec hry","Spiel verlassen","WYJDŹ Z GRY","ПОКИНУТЬ ИГРУ","Quitter le jeu","Salir del juego","Abbandona"
STR_DISP_MAIN_CREDITS,"Credits","Autoři","Credits","Twórcy","Создатели","Crébits","Créditos","Riconoscimenti"
STR_DISP_MAIN_ARCADE,"Debug arcade","Odladit arkádu","Übersicht Fehlerbehebung","Usunięcie błędów","Тестовый режим","Débogage arcade","Depurar Arcade","Messa a punto arcade"
STR_DISP_MAIN_CONTINUE,"CONTINUE","POKRAČOVAT","Weiter","KONTYNUUJ","ПРОДОЛЖИТЬ","CONTINUER","CONTINUAR","CONTINUA"
STR_DISP_MAIN_DESIGN,"ALL MISSIONS (FOR DESIGNERS)","VŠECHNY MISE (PRO NÁVRHÁŘE)","ALLE EINSÄTZE (FÜR ENTWICKLER)","WSZYSTKIE MISJE (DLA PROJEKTANTÓW)","ВСЕ ЗАДАНИЯ (ДЛЯ ДИЗАЙНЕРОВ)","TOUTES MISSIONS (POUR CONCEPTEURS)","TODAS LAS MISIONES (PARA DISEÑADORES)","TUTTE LE MISSIONI (PER I DESIGNER)"
STR_DISP_MAIN_SAVE,"Testing save","Zkušební uložení","Test: Speichern","Test zapisu","Тестовое сохранение","Test sauvegarde","Probando guardar","Test di salvataggio"
STR_DISP_MAIN_LOAD,"Testing load","Zkušební nahrání","Test: Laden","Test wczytywania","Тестовая загрузка","Test chargement","Probando cargar","Test di caricamento"
STR_DISP_GAME_NEW,"New game","Nová hra","Neues Spiel","Nowa gra","Новая игра","Nouvelle partie","Nueva partida","Nuova partita"
STR_DISP_GAME_NAME,"Name:","Název:","Name:","Nazwa:","Имя:","Nom :","Nombre:","Nome:"
STR_DISP_GAME_SIDE,"Choose side:","Zvol stranu:","Seite wählen:","Strona:","Выберите сторону:","Choix du camp :","Elegir bando:","Scegli fazione:"
STR_DISP_GAME_WEST,"West","BLUFOR","Westen","Zachód","Запад","Ouest","Oeste","Ovest"
STR_DISP_GAME_EAST,"East","OPFOR","Osten","Wschód","Восток","Est","Este","Est"
STR_DISP_GAME_GUERRILA,"Resistance","Nezávislí","Widerstand","Ruch oporu","Сопротивление","Résistance","Resistencia","Resistenza"
STR_DISP_CUST_PLAY,"Play","Hra","Spielen","Graj","Играть","Jouer","Jugar","Gioca"
STR_DISP_CAMPAIGN_PREVIOUS,"Previous","Předchozí","Zurück","Previous","Предыдущее","Préc.","Anterior","Prec."
STR_DISP_CAMPAIGN_NEXT,"Next","Další","Vor","Next","Следующее","Suiv.","Siguiente","Succ."
STR_DISP_CAMPAIGN_CONTENTS,"Contents:","Obsah:","Inhalt:","Zawartość:","Участники:","Contenu :","Contenidos:","Contenuti:"
STR_DISP_CAMPAIGN_ENEMY,"Enemy","Nepřátelský","Gegner","Wróg","Враги","Ennemi","Enemigo","Nemico"
STR_DISP_CAMPAIGN_FRIENDLY,"Friendly","Přátelský","Freunde","Sojusznik","Свои","Ami","Amigo","Amico"
STR_DISP_CAMPAIGN_CIVILIAN,"Civilian","Civilní","Zivilisten","Cywil","Гражданские","Civil","Civil","Civile"
STR_CAMPAIGN_KILLS,"Kills","Zabito","Getötet","Zabici","Убито","Frags","Muertes","Uccisioni"
STR_DISP_GAME_ARCADE,"Arcade game","Arkáda","Arcade-Spiel","Gra zręcznościowa","Аркадный режим","Partie arcade","Partida Arcade","Gioco arcade"
STR_DISP_OTHER,"Other","Další","Sonstiges","Pozostałe","Дополнительно","Autre","Otro","Altro:"
STR_DISP_OPTIONS_TITLE,"Options","Nastavení","Optionen","Opcje","Настройки","Options","Opciones","Opzioni"
STR_DISP_OPTIONS_VIDEO,"Video Options","Grafika","Video-Optionen","Opcje grafiki","Видео","Options vidéo","Vídeo","Opzioni video"
STR_DISP_OPTIONS_AUDIO,"Audio Options","Zvuk","Audio-Optionen","Opcje dźwięku","Звук","Options audio","Audio","Opzioni audio"
STR_DISP_OPTIONS_CONFIGURE,"Controls","Ovládání","Steuerung","Sterowanie","Управление","Commandes","Controles","Comandi"
STR_DISP_OPTIONS_DIFFICULTY,"Difficulty","Obtížnost","Schwierigkeitsg.","Poziom trudności","Сложность","Difficulté","Dificultad","Difficoltà"
STR_DISP_OPT_VISUALS,"Visuals","Zobrazení","Visuelle Darstellung","Efekty wizualne","Графика","Visuel","Efectos visuales","Visuali"
STR_DISP_OPT_QUALITY,"Visual quality:","Kvalita zobrazení:","Visuelle Qualität:","Jakość obrazu:","Качество графики:","Qualité visuelle :","Calidad visual:","Qualità visuale:"
STR_DISP_OPT_LANGUAGE,"Language:","Jazyk:","Sprache:","Język:","Язык:","Langue","Idioma:","Lingue:"
STR_LANG_ENGLISH,"English","English","Englisch","Angielski","Английский","English","english","Inglese"
STR_LANG_FRENCH,"Français","Français","Französisch","Francuski","Французский","Français","Français","Francese"
STR_LANG_SPANISH,"Español","Español","Spanisch","Hiszpański","Испанский","Español","Español","Spagnolo"
STR_LANG_ITALIAN,"Italiano","Italiano","Italienisch","Włoski","Итальянский","Italiano","Italiano","Italiano"
STR_LANG_GERMAN,"Deutsch","Deutsch","Deutsch","Niemiecki","Немецкий","Deutsch","Deutsch","Tedesco"
STR_LANG_CZECH,"Čeština","Čeština","Tschechisch","Czeski","Чешский","Čeština","Čeština","Ceco"
STR_LANG_POLISH,"Polski","Polski","Polnisch","Polski","Польский","Polski","Polski","Polacco"
STR_LANG_RUSSIAN,"Русский","Русский","Russisch","Rosyjski","Русский","Русский","Русский","Russo"
STR_DISP_OPT_VISIBILITY,"Visibility:","Viditelnost:","Sichtweite:","Widoczność:","Видимость:","Visibilité :","Visibilidad:","Visibilità:"
STR_DISP_OPT_FRAMERATE,"Frame rate:","Rychlost hry:","Framerate:","Ilość klatek:","Кадров в секунду:","Fluidité :","Velocidad de cuadro:","Frequenza frame:"
STR_DISP_OPT_TEXTURES,"Texture resolution","Rozlišení textur","Texturauflösung","Rozdzielczość tekstur","Разрешение текстур:","Résolution textures :","Resolución de textura","Risoluzione texture:"
STR_DISP_OPT_GAMMA,"Gamma correction:","Gama korekce:","Gamma-Korrektur:","Korekta gamma:","Гамма-коррекция:","Correction gamma :","Corrección gamma:","Correzione gamma:"
STR_DISP_OPT_BRIGHT,"Brightness:","Jas:","Helligkeit:","Jasność:","Яркость:","Luminosité :","Brillo:","Luminosità:"
STR_DISP_OPT_RESOLUTION,"Resolution:","Rozlišení:","Auflösung","Rozdzielczość:","Разрешение:","Résolution :","Resolución:","Risoluzione:"
STR_DISP_OPT_ASPECT_RATIO,"Aspect ratio:","Poměr stran:","Seitenverhältnis","Tryb wyświetlania:","Экран:","Format :","Relac. de aspecto:","Proporzioni:"
STR_DISP_OPT_REFRESH,"Refresh rate:","Frekvence:","Hertz","Odświeżanie:","Частота:","Taux rafraîch. :","Frecuencia:","Freq. aggiorn.:"
STR_DISP_OPT_OBJSHADOWS,"Object shadows:","Stíny objektů:","Objektschatten:","Cienie przedmiotów:","Тени объектов:","Ombres objets :","Sombras:","Ombre oggetti:"
STR_DISP_OPT_BLOOD,"Blood:","Stupeň krve:","Blut:","Krew:","Кровь:","Sang :","Sangre:","Sangue:"
STR_DISP_OPT_WBUFFER,"W-buffer:","W-buffer:","W-buffer:","W-buffer:","W-буфер:","Tampon W :","W-buffer:","W-buffer:"
STR_DISP_OPT_TERRAIN,"Terrain detail:","Detail terénu:","Landschaftsdetails:","Szczegóły terenu:","Качество ландшафта:","Détails terrain :","Detalles del terreno:","Dettaglio terreni:"
STR_DISP_OPT_OBJECTS_DETAIL,"Objects detail:","Detail objektů","Objektdetails:","Szczegóły obiektów:","Качество объектов:","Détails objets :","Detalles de objetos:","Dettaglio oggetti:"
STR_DISP_OPT_TEXTURE_DETAIL,"Texture detail:","Detail textur:","Texturendetails:","Szczegóły tekstur:","Качество текстур:","Détails textures :","Detalles de textura:","Dettaglio texture:"
STR_DISP_OPT_QUALITY_PREFERENCE,"Quality preference:","Souhrn nastavení:","Qualitätspräferenz:","Preferencje jakości:","Выбор качества:","Préférence qualité :","Pref. de calidad:","Livello qualità:"
STR_DISP_OPT_SHADING_DETAIL,"Shading detail:","Detail vykreslování:","Shading-Details:","Detale cieni:","Качество шейдеров:","Détails ombrage :","Detalles sombreado:","Dettaglio ombreggiature:"
STR_DISP_OPT_SHADOW_DETAIL,"Shadow detail:","Detail stínu:","Schattendetails:","Detale cieni:","Качество теней:","Détails ombres :","Detalles de sombra:","Dettaglio ombre:"
STR_DISP_OPT_HDR_DETAIL,"HDR quality:","Kvalita HDR:","HDR-Qualität","HDR quality:","Качество HDR:","Qualité HDR :","Calidad rango dinámico:","Qualità gamma dinamica:"
STR_DISP_OPT_ANISO_DETAIL,"Anisotropic filtering:","Anizotropní filtr:","Anisotropischer Filter:","Filtrowanie anizotropowe:","Анизотр. фильтрация:","Filtrage anisotropique :","Filtro anisotrópico:","Filtro anisotropico:"
STR_DISP_OPT_POSTPROCESS_EFFECTS,"Postprocess effects:","Postproces:","Postprocess Effekt:","Postefekty","Постобработка","Effets de post-traitement","Efectos postprocesado:","Effetti di post-processo:"
STR_DISP_OPT_FSAA_DETAIL,"Antialiasing:","Detail vyhlazování:","Antialiasing:","Antyaliasing:","Сглаживание:","Anticrénelage :","Antialiasing:","Antialiasing:"
STR_DISP_OPT_ASPECT_RATIO_NORMAL,"4:3 – Normal","4:3 Normální","Normal – 4:3","Zwykłe -4:3","Обычное, 4:3","normal - 4/3","Normal - 4:3","Normali - 4:3"
STR_DISP_OPT_ASPECT_RATIO_WIDE,"16:9 – Wide","16:9 Širokoúhlý","Widescreen – 16:9","Panorama -16:9","Широкоэкр. 16:9","large - 16/9","Pan. – 16:9","Panoram. -16:9"
STR_DISP_OPT_ASPECT_RATIO_WIDE_16_10,"16:10 – Wide","16:10 Širokoúhlý","Widescreen - 16:10","Panorama -16:10","Широкоэкр. 16:10","large - 16/10","Pan. – 16:10","Panoram. -16:10"
STR_DISP_OPT_ASPECT_RATIO_TFT,"5:4 – TFT Screen","5:4 TFT","TFT – 5:4","TFT  -5:4","5:4","TFT large - 5/4","TFT – 5:4","TFT - 5:4"
STR_DISP_OPT_ASPECT_RATIO_TRIPLE,"12:3 – Triple Head","12:3 Tři monitory","Triple Head – 12:3","Triple Head -12:3","12:3","Triple tête - 12/3","Triple – 12:3","Triple Head - 12:3"
STR_DISP_OPT_ASPECT_RATIO_CUSTOM,"Custom","Vlastní","Benutzer","Domyślny","Другой","Personnalisé","Personaliz.","Personalizzate"
STR_DISP_OPT_DISABLED,"Disabled","Zakázáno","Deaktiviert","Wyłączone","Откл.","Désactivé","Desactivado","Disattiv."
STR_DISP_OPT_VOLUMES,"Volume","Hlasitost","Lautstärke","Głośność","Громкость","Volume","Volumen","Volume"
STR_DISP_OPT_MUSIC,"Music:","Hudba:","Musik:","Muzyka:","Музыка:","Musique :","Música:","Musica:"
STR_DISP_OPT_EFFECTS,"Effects:","Efekty:","Effekte:","Efekty:","Эффекты:","Effets :","Efectos:","Effetti:"
STR_DISP_OPT_VOICES,"Radio:","Rádio:","Funk:","Radio:","Радио:","Radio :","Radio:","Radio:"
STR_DISP_OPT_SAMPLING,"Sampling rate:","Kvalita samplování:","Samplingrate:","Częstotliwość sampli:","Частота модуляции:","Taux échantillonnage :","Velocidad de muestreo:","Frequenza di campionamento:"
STR_DISP_OPT_HWACC,"Hardware acceleration:","Hardwarová akcelerace:","Hardwarebeschleunigung:","Akceleracja sprzętowa:","Аппаратное ускорение:","Accél. matérielle :","Aceleración de hardware:","Accelerazione hardware:"
STR_DISP_OPT_EAX,"EAX:","EAX:","EAX:","EAX:","EAX:","EAX :","Sonido medioambiental:","EAX:"
STR_DISP_OPT_SINGLE_VOICE,"Voices:","Hlasy:","Stimmen:","Głosy:","Голоса:","Voix","Voces:","Voci:"
STR_DISP_CONF_NAME,"Name","Název","Name","Nazwa","Имя","Nom","Nombre","Nome"
STR_DISP_CONF_KEYS,"Keys","Klávesy","Tasten","Klawisze","Клавиши","Touches","Claves","Tasti"
STR_DISP_CONF_RES,"Reserved keys: Esc, F1..F12, 1..0, Ctrl","Vyhrazené klávesy: Esc, F1..F12, 1..0, Ctrl","Belegte Tasten: Esc, F1…F12, 1…0, Strg","Zajęte klawisze: Esc, F1..F12, 1..0, Backspace","Зарезервированные клавиши: Esc, F1..F12, 1..0","Touches réservées : Échap, F1-F12, 1-0","Claves reservadas: Esc, F1..F12, 1..0, Crtl","Tasti riservati: Esc, F1...F12, 1...0, Ctrl"
STR_DISP_CONF_SENS,"Mouse sensitivity:","Citlivost myši:","Mausempfindlichkeit","Czułość myszy","Чувствительность мыши","Sensibilité souris","Sensibilidad del ratón:","Sensibilità mouse:"
STR_DISP_CONF_XAXIS,"X Axis:","Osa X:","X-Achse","Oś X","Ось X","Axe X","Eje X:","Asse X:"
STR_DISP_CONF_YAXIS,"Y Axis:","Osa Y:","Y-Achse","Oś Y","Ось Y","Axe Y","Eje Y:","Asse Y:"
STR_DISP_CONF_SHOW,"Show:","Zobrazit:","Zeigen:","Pokaż:","Показать:","Afficher :","Mostrar:","Mostra:"
STR_DISP_CONF_MOUSE_BUTTON,"Primary mouse button:","Primární tlačítko myši:","Primäre Maustaste:","Główny przycisk myszy:","Левая кнопка мыши:","Bouton principal souris","Ratón principal del ratón:","Pulsante mouse primario:"
STR_DISP_CONF_HELP,"Press any key or drag & drop to bind it to the action","Spustíte stisknutím libovolné klávesy nebo přetažením","Taste drücken oder per Drag&Drop Aktion zuweisen","Wciśnij klawisz lub przeciągnij i upuść aby przypisać go do akcji","Нажмите любую клавишу или перетащите мышкой значок.","Appuyer sur une touche ou glisser-déposer pour lier à l'action","Pulsa cualquier tecla o arrastra para vincularlo a la acción","Premi un tasto qualsiasi o trascina selezione per assegnargli la funzione desiderata"
STR_DISP_CONF_FLOATING_ZONE,"Floating zone:","Plovoucí zóna:","Floating-Bereich:","Czułość myszy:","Плав. область:","Zone flottante :","Zona flotante:","Zona fluttuante:"
STR_DISP_CONF_CONFIGURE,"Configure controls:","Konfigurovat nastavení:","Steuerung konfigurieren","Konfiguracja klawiszy:","Настройка управления:","Configurer commandes :","Configurar controles:","Configura comandi:"
STR_DISP_CONF_CONTROLER,"Controler options:","Možnosti ovladače:","Steuerungsoptionen","Opcje kontrolera:","Настройки контроллера:","Options de contrôleur :","Opciones del controlador:","Opzioni controller:"
STR_DISP_CONFACT_TITLE,"Configure action: %s","Konfigurovat akci: %s","Aktion konfigurieren: %s","Konfiguruj: %s","Действие: %s","Configurer action : %s","Configurar acción: %s","Configura azione: %s"
STR_DISP_CONFACT_UNDO,"Undo","Odvolat","Rückgängig","Cofnij","Отменить","Annuler","Deshacer","Annulla"
STR_DISP_DIFF_NAME,"Name","Jméno","Name","Nazwa","Имя","Nom","Nombre","Nome"
STR_DISP_DIFF_CADET,"Cadet","Kadet","Kadett","Kadet","Новичок","Aspirant","Cadete","Cadetto"
STR_DISP_DIFF_VETERAN,"Veteran","Veterán","Veteran","Weteran","Ветеран","Vétéran","Veterano","Veterano"
STR_DISP_DIFF_ENEMY_LEVEL,"Enemy units:","Nepřátelské jednotky:","Feindliche Einheiten:","Jednostki nieprzyjaciela:","Вражеские войска:","Unités ennemies :","Unidades enemigas:","Unità nemiche:"
STR_DISP_DIFF_FRIENDLY_LEVEL,"Friendly units:","Spojenecké jednotky:","Eigene Einheiten:","Jednostki sojusznicze:","Союзные войска:","Unités amies :","Unidades amigas:","Unità amiche:"
STR_DISP_DIFF_ENEMY_SKILL,"Enemy skill:","Dovednost nepřítele:","Fähigkeiten des Feindes:","Umiejętności wroga:","Уровень врагов:","Compétence ennemie :","Habilidad enemigo:","Abilità nemico:"
STR_DISP_DIFF_FRIENDLY_SKILL,"Friendly skill:","Dovednost spojence:","Fähigkeiten eigener Truppen:","Umiejętności sojuszników:","Уровень союзников:","Compétence amie :","Habilidad amigo:","Abilità amico:"
STR_DISP_MULTI_NEW,"New","Nový","Neu","Nowy","Новая","Nouv.","Nuevo","Nuova"
STR_DISP_MULTI_JOIN,"Join","Připojit","Beitreten","Dołącz","Соединиться","Rejoindre","Acceder","Unisciti"
STR_DISP_MULTI_SESSIONS,"Active sessions:","Aktivní hry:","Aktive Sitzungen:","Aktywne sesje:","Активные сессии","Sessions actives :","Sesiones activas:","Sessioni attive:"
STR_DISP_MULTI_PING,"Ping","Ping","Ping","Ping","Пинг","Ping","Ping","Ping"
STR_DISP_MULTI_REFRESH,"Refresh","Aktualizovat","Aktualisieren","Odśwież","Обновить","Actualiser","Actualizar","Aggiorna"
STR_DISP_MULTI_FILTER,"Filter","Filtr","Filter","Filtr","Фильтр","Filtrer","Filtro","Filtro"
STR_DISP_FILTER_TITLE,"Filter settings","Nastavení filtru","Filter","Ustawienia filtra","Настройки фильтра","Param. filtrage","Configuración de filtro","Impostazioni filtro"
STR_DISP_FILTER_SERVER,"Host:","Hostitel:","Host:","Host:","Сервер:","Hôte :","Anfitrión:","Host:"
STR_DISP_FILTER_MISSION,"Mission:","Mise:","Einsatz:","Misja:","Задание:","Mission :","Misión:","Missione:"
STR_DISP_FILTER_MAXPING,"Max. ping:","Max. ping:","Max. Ping:","Maks. ping:","Макс. пинг:","Ping max. :","Ping máx:","Ping max:"
STR_DISP_FILTER_MINPLAYERS,"Min. players:","Min. počet hráčů:","Min. Spieler:","Min. gracz.:","Мин. игр.","Joueurs min. :","Mín. jug.:","Giocatori min.:"
STR_DISP_FILTER_MAXPLAYERS,"Max. players:","Max. počet hráčů:","Max. Spieler:","Max. gracz.:","Макс. игр.","Joueurs max. :","Máx. jug:","Giocatori max:"
STR_DISP_PASSWORD_TITLE,"Password","Heslo","Passwort","Hasło","Пароль","Mot de passe","Contraseña","Password"
STR_DISP_PASSWORD,"Password:","Heslo:","Passwort:","Hasło:","Пароль:","Mot de passe :","Contraseña:","Password:"
STR_DISP_IP_TITLE,"Host IP Address","IP adresa serveru:","Host IP-Adresse","Adres IP Hosta","IP-адрес сервера","Adresse IP hôte","Dirección IP anfitrión","Indirizzo IP host"
STR_DISP_IP_ADDRESS,"Address:","Adresa:","Adresse:","Adres:","Адрес","Adresse :","Dirección:","Indirizzo:"
STR_DISP_IP_PORT,"Port:","Port:","Port:","Port:","Порт:","Port :","Puerto:","Porta:"
STR_DISP_PORT_TITLE,"Port","Port","Port","Port","Порт","Port","Puerto","Porta"
STR_DISP_SERVER_TITLE,"Create game","Vytvořit hru","Spiel erstellen","Stwórz grę","Создать игру","Créer partie","Crear partida","Crea partita"
STR_DISP_SERVER_ISLAND,"Island:","Ostrov:","Insel:","Wyspa:","Остров:","Île :","Isla:","Isola:"
STR_DISP_SERVER_MISSION,"Mission:","Mise:","Einsatz:","Misja:","Задание","Mission :","Misión:","Missione:"
STR_DISP_SERVER_EDITOR,"Editor","Editor","Editor","Edytor","Редактор","Éditeur","Editor","Editor"
STR_DISP_SRVSETUP_TITLE,"Host Setup","Nastavení serveru","Host-Setup","Ustawienia Hosta","Настройки сервера","Config. hôte","Config Anfitrión","Impostazioni host"
STR_DISP_CLISETUP_TITLE,"Client Setup","Nastavení klienta","Client-Setup","Ustawienie Klienta","Настройки клиента","Config. client","Config Cliente","Impostazioni client"
STR_DISP_SRVSETUP_PLAYERS,"Players","Hráči","Spieler","Gracze","Игроки","Joueurs","Jugadores","Giocatori"
STR_DISP_SRVSETUP_UNITS,"Units","Jednotky","Einheiten","Jednostki","Войска","Unités","Unidades","Unità"
STR_DISP_SRVSETUP_ISLAND,"Island:","Ostrov:","Insel:","Wyspa:","Остров:","Île :","Isla:","Isola:"
STR_DISP_SRVSETUP_NAME,"Mission:","Mise:","Einsatz:","Misja:","Задание:","Mission :","Misión:","Missione:"
STR_DISP_SRVSETUP_DESC,"Description:","Popis:","Beschreibung:","Opis:","Описание:","Description :","Descripción:","Descrizione:"
STR_DISP_SRVSETUP_ASSIGN,"Assign","Přiřadit","Zuordnen","Przydziel","Назначить","Affecter","Asignar","Assegna"
STR_DISP_SRVSETUP_UNASSIGN,"Unassign","Zrušit přiřazení","Aufheben","Zwolnij","Убрать","Désaffecter","Desvincular","Annulla assegnaz."
STR_DISP_SRVSETUP_RANDOM,"Random","Náhodně","Zufall","Losowe","Случ.","Aléatoire","Aleatorio","A caso"
STR_DISP_SRVSIDE_POOL,"Pool:","K dispozici:","Verfügbar:","Grupa:","Список:","Pool :","Pool:","Pool:"
STR_DISP_SRVSIDE_WEST,"West:","BLUFOR:","Westen:","Zachód:","Запад:","Ouest :","Oeste:","Ovest:"
STR_DISP_SRVSIDE_EAST,"East:","OPFOR:","Osten:","Wschód:","Восток:","Est :","Este:","Est:"
STR_DISP_SRVSIDE_RESIST,"Resistance:","Nezávislí:","Widerstand:","Ruch oporu:","Сопротивление:","Résistance :","Resistencia:","Resistenza:"
