COMMENT,"English","Czech","German","Polish","Russian","French","Spanish","Italian"
STR_SENT_SUPPORT_READY_1,"POSITION %2, SUPPORTING %1","POZICE %2, PODPORUJI %1","POSITION %2, UNTERSTÜTZE %1","POZYCJA %2, WSPIERA %1","%2, Оказываю поддержку для: %1","POSITION %2, APPUYANT %1","POSICIÓN %2, APOYO %1","POSIZIONE %2, IN SUPPORTO %1"
STR_SENT_SUPPORT_DONE_1,"SUPPORT DONE","PODPORA SPLNĚNA","UNTERSTÜTZUNG GELEISTET","WSPARCIE ZAKOŃCZONE","Поддержка оказана.","SOUTIEN APPORTÉ","APOYO CONFERIDO","SUPPORTO PORTATO"
STR_SENT_HEALTH_CRITICAL_1,"INJURED","DOSTAL JSEM TO","VERWUNDET","RANNY","Ранен.","BLESSÉ","HERIDO","FERITO"
STR_SENT_DAMMAGE_CRITICAL_1,"STATUS RED","JE TO SE MNOU VÁŽNÝ","STATUS ROT","STATUS CZERWONY","Красный статус.","SITUATION ROUGE","ESTADO ROJO","SITUAZIONE CRITICA"
STR_SENT_FUEL_CRITICAL_1,"OUT OF FUEL","DOŠLO MI PALIVO","TREIBSTOFF ALLE","BRAK PALIWA","Кончилось топливо.","À COURT DE CARBURANT","SIN COMBUSTIBLE","CARBURANTE ESAURITO"
STR_SENT_FUEL_LOW_1,"FUEL LOW","DOCHÁZÍ MI PALIVO","TREIBSTOFF KNAPP","MAŁO PALIWA","Мало топлива.","CARBURANT EN BAISSE","BAJO EN COMBUSTIBLE","CARBURANTE IN ESAURIMENTO"
STR_SENT_AMMO_CRITICAL_1,"OUT OF AMMO","DOŠLA MI MUNICE","MUNITION ALLE","BRAK AMUNICJI","Кончились боеприпасы.","À COURT DE MUNITIONS","SIN MUNICIÓN","MUNIZIONI ESAURITE"
STR_SENT_AMMO_LOW_1,"AMMO LOW","DOCHÁZÍ MI MUNICE","MUNITION KNAPP","MAŁO AMUNICJI","Мало боеприпасов.","MUNITIONS EN BAISSE","BAJO EN MUNICIÓN","MUNIZIONI IN ESAURIMENTO"
STR_SENT_REPORT_POSITION_1,"POSITION %2","POZICE %2","POSITION %2","POZYCJA %2","Позиция %2","POSITION %2","POSICIÓN %2","POSIZIONE %2"
STR_SENT_IS_LEADER_1,"TAKING COMMAND","PŘEBÍRÁM VELENÍ","ÜBERNEHME KOMMANDO","OBEJMUJĘ DOWÓDZTWO","Беру командование.","PRISE DE COMMANDEMENT","TOMAR EL MANDO","PRESA DI COMANDO"
STR_SENT_IS_LEADER_2,"THIS IS %1: TAKING COMMAND. I SAY AGAIN. %1 TAKING COMMAND. OUT.","TADY %1: PŘEBÍRÁM VELENÍ. OPAKUJI. %1 PŘEBÍRÁM VELENÍ. KONEC.","HIER SPRICHT %1: ÜBERNEHME KOMMANDO. WIEDERHOLE. %1 ÜBERNEHME KOMMANDO. ENDE.","TU %1: OBEJMUJĘ DOWÓDZTWO. POWTARZAM. %1 OBEJMUJE DOWÓDZTWO. BEZ ODBIORU.","Говорит %1: принимаю командование. Повторяю, говорит %1: принимаю командование.","ICI %1 : JE PRENDS LE COMMANDEMENT. JE RÉPÈTE, : %1 PREND LE COMMANDEMENT. TERMINÉ","AQUÍ %1: TOMANDO EL MANDO. REPITO: %1 TOMA EL MANDO. CORTO.","QUI È %1: STO PRENDENDO IL COMANDO. RIPETO. %1 PRENDE IL COMANDO. CHIUDO."
STR_SENT_COMMAND_COMPLETED_1,"READY","HOTOVO","BEREIT","GOTOWY","Готов","PRÊT","PREPARADO","PRONTO"
STR_SENT_COMMAND_COMPLETED_2,"WAITING","ČEKÁM","WARTEN","CZEKAM","Ожидаю","EN ATTENTE","ESPERANDO","IN ATTESA"
STR_SENT_FIRE_READY_1,"READY TO FIRE","K PALBĚ PŘIPRAVEN","BEREIT ZUM FEUERN","GOTÓW DO STRZAŁU","Готов открыть огонь","PRÊT À TIRER","ESPERANDO PARA DISPARAR","PRONTO A SPARARE"
STR_SENT_FIRE_NEGATIVE_1,"CANNOT FIRE","NEMŮŽU STŘÍLET","KANN NICHT FEUERN","NIE MOGĘ STRZELAĆ","Не могу открыть огонь","TIR IMPOSSIBLE","IMPOSIBLE DISPARAR","NON È POSSIBILE SPARARE"
STR_SENT_COMMAND_FAILED_1,"NEGATIVE","NEGATIVNÍ","NEGATIV","ODMAWIAM","Ответ отрицательный","NÉGATIF","NEGATIVO","NEGATIVO"
STR_SENT_DESTINATION_UNREACHEABLE_1,"CAN'T GET THERE","NEDOSTANU SE TAM","KOMME NICHT HIN","NIE DOTRĘ TAM","Не могу добраться туда","IMPOSSIBLE D'ALLER LÀ-BAS","IMPOSIBLE LLEGAR AHÍ","NON È POSSIBILE ANDARCI"
STR_SENT_ENEMY_DETECTED_1,"%3, %4 %2, at %5 meters","%3, %4 %2 - %5 metrů","%4 %2, %5 Meter auf %3","%3, %4 %2, w odległości %5 metrów","%3, %4 %2, %5 м.","%3, %4 %2, à %5 m","%3, %4 %2, a %5 metros","%3, %4 %2, a %5 metri"
STR_SENT_ENEMY_DETECTED_2,"%3, %2, at %5 meters","%3, %2 - %5 metrů","%2, %5 Meter auf %3","%3, %2, w odległości %5 metrów","%3, %2, %5 м.","%3, %2, à %5 m","%3, %2, a %5 metros","%3, %2, a %5 metri"
STR_SENT_ENEMY_DETECTED_FAR_1,"%3, %4 %2, at %5 meters","%3, %4 %2 - %5 metrů","%4 %2, %5 Meter auf %3","%3, %4 %2, w odległości %5 metrów","%3, %4 %2, %5 м.","%3, %4 %2, à %5 m","%3, %4 %2, a %5 metros","%3, %4 %2, a %5 metri"
STR_SENT_ENEMY_DETECTED_FAR_2,"%3, %2, at %5 meters","%3, %2, - %5 metrů","%4 %2, %5 Meter auf %3","%3, %2, w odległości %5 metrów","%3, %2, %5 м.","%3, %2, à %5 m","%3, %2, a %5 metros","%3, %2, a %5 metri"
STR_SENT_ENEMY_DETECTED_SIMPLE_1,"%3, %2, at %5 meters","%3, %2, - %5 metrů","%2, %5 Meter auf %3","%3, %2, w odległości %5 metrów","%3, %2, %5 м.","%3, %2, à %5 m","%3, %2, a %5 metros","%3, %2, a %5 metri"
STR_SENT_ENEMY_DETECTED_SIMPLE_FAR_1,"%3, %2","%3, %2","%2, %3","%3, %2","%3, %2","%3, %2","%3, %2","%3, %2"
STR_SENT_OBJECT_DESTROYED_1,"I'VE GOT HIM","DOSTAL JSEM HO","ICH HABE IHN","MAM GO","Цель поражена.","JE L'AI EU","LE TENGO","L’HO PRESO"
STR_SENT_OBJECT_DESTROYED_2,"%2 IS HISTORY","%2 TO MÁ ZA SEBOU","%2 IST GESCHICHTE","%2 JEST HISTORIĄ","Уничтожено: %2.","C'EST FINI POUR %2","%2 YA ES HISTORIA","%2 ELIMINATO"
STR_SENT_OBJECT_DESTROYED_UNKNOWN_1,"I'VE GOT HIM","JE PO NĚM","ICH HABE IHN","MAM GO","Цель поражена.","JE L'AI EU","LE TENGO","L’HO PRESO"
STR_SENT_CONTACT_1,"CONTACT","KONTAKT","KONTAKT!","KONTAKT","Есть контакт.","CONTACT","CONTACTO","CONTATTO"
STR_SENT_UNDER_FIRE_1,"UNDER FIRE","JSME POD PALBOU","UNTER BESCHUSS","POD OSTRZAŁEM","ПОД ОБСТРЕЛОМ.","TIRS SUR MOI","EN LÍNEA DE FUEGO","SOTTO IL FUOCO"
STR_SENT_CLEAR_1,"CLEAR","ČISTO","SICHER","CZYSTO","Чисто.","DÉGAGÉ","DESPEJA","SOTTO CONTROLLO"
STR_SENT_REPEAT_COMMAND_1,"REPEAT","OPAKUJTE","WIEDERHOLEN","POWTÓRZ","Повторите.","RÉPÉTEZ","REPITE","RIPETI"
STR_SENT_WHERE_ARE_YOU_1,"WHERE ARE YOU?","KDE SAKRA JSTE?","WO SIND SIE?","GDZIE JESTEŚ?","Где вы?","OÙ ÊTES-VOUS ?","¿DÓNDE ESTÁS?","DOVE SEI?"
STR_SENT_RETURN_TO_FORMATION_1,"%1, RETURN TO FORMATION","%1, VRAŤTE SE DO FORMACE","%1, IN FORMATION ZURÜCKKEHREN","%1, WRACAJ DO SZYKU","%1, вернитесь в строй.","%1, RETOUR EN FORMATION","%1, REGRESA A LA FORMACIÓN","%1, RITORNARE IN FORMAZIONE"
STR_SENT_RETURN_TO_FORMATION_2,"%1, FALL BACK INTO FORMATION","%1, ZAPADNĚTE DO FORMACE","%1, ZURÜCK IN FORMATION BEGEBEN","%1, DOŁĄCZ DO FORMACJI","%1, возвращайтесь в строй.","%1, REPRISE DE FORMATION","%1,  RETROCEDE A LA FORMACIÓN","%1, RITIRARSI IN FORMAZIONE"
STR_SENT_FORM_COLUMN_1,"FORM COLUMN","ZFORMUJTE ZÁSTUP","KOLONNE BILDEN","FORMOWAĆ KOLUMNĘ","Построиться в колонну.","FORM. COLONNE","FORMAR COLUMNA","FORMARE COLONNA"
STR_SENT_FORM_STAGGERED_COLUMN_1,"FORM STAGGERED COLUMN","ZFORMUJTE DVOJSTUP","GESTAFFELTE KOLONNE BILDEN","FORMOWAĆ ROZPROSZONĄ KOLUMNĘ","В колонну в шахматном порядке.","FORM. COLONNE DÉCALÉE","FORMAR COLUMNA ESCALONADA","FORMARE COLONNA FRAMMENTATA"
STR_SENT_FORM_WEDGE_1,"FORM WEDGE","ZFORMUJTE KLÍN","KEIL BILDEN","FORMOWAĆ KLIN","Построиться клином.","FORM. COIN","FORMAR CUÑA","FORMARE CUNEO"
STR_SENT_FORM_ECHOLON_LEFT_1,"FORM ECHELON LEFT","ZFORMUJTE ZÁSTUP VLEVO","STAFFEL LINKS BILDEN","FORMOWAĆ LEWY ESZELON","В строй уступом влево.","FORM. ÉCHELON G","FORMAR ESCALÓN IZQUIERDA","FORMARE SCAGLIONE A SINISTRA"
STR_SENT_FORM_ECHOLON_RIGHT_1,"FORM ECHELON RIGHT","ZFORMUJTE ZÁSTUP VPRAVO","STAFFEL RECHTS BILDEN","FORMOWAĆ PRAWY ESZELON","В строй уступом вправо.","FORM. ÉCHELON D","FORMAR ESCALÓN DERECHA","FORMARE SCAGLIONE A DESTRA"
STR_SENT_FORM_VEE_1,"FORM VEE","ZFORMUJTE VÉČKO","V-FORMATION BILDEN","FORMOWAĆ V","Построиться V-образно.","FORM. V","FORMAR UVE","FORMARE V"
STR_SENT_FORM_LINE_1,"FORM LINE","ZFORMUJTE LINII","REIHE BILDEN","FORMOWAĆ LINIĘ","В шеренгу.","FORM. LIGNE","FORMAR FILA","FORMARE LINEA"
STR_SENT_FORM_COLUMN_COMPACT_1,"FORM COLUMN (COMPACT)","ZFORMUJTE ZÁSTUP (KOMPAKTNÍ)","KOMPAKTE KOLONNE BILDEN","FORMOWAĆ ZWARTĄ KOLUMNĘ","В колонну (компакт.)","FORM. COLONNE (RESSERRÉE)","FORMAR COLUMNA (COMPACTA)","FORMARE COLONNA (COMPATTA)"
STR_SENT_FORM_DELTA_1,"FORM DELTA","ZFORMUJTE DELTU","DELTA BILDEN","FORMOWAĆ DELTĘ","Построиться в треугольник.","FORM. DELTA","FORMAR DELTA","FORMARE DELTA"
STR_SENT_BEHAVIOUR_CARELESS_1,"%1, STAND DOWN","%1, DEJTE SI VORAZ","%1, LOCKER BLEIBEN","%1, ODSUNĄĆ SIĘ","%1, отойдите.","%1, C'EST BON...","%1, RETÍRATE","%1, GIÙ"
STR_SENT_BEHAVIOUR_SAFE_1,"%1, AT EASE!","%1, POHOV!","%1, ENTSPANNEN!","%1, SPOCZNIJ!","%1, вольно!","%1, REPOS !","¡%1, DESCANSA!","%1, RIPOSO!"
STR_SENT_BEHAVIOUR_AWARE_1,"%1, STAY ALERT","%1, DÁVEJTE POZOR","%1, WACHSAM BLEIBEN","%1, BĄDŹCIE CZUJNI","%1, будьте начеку!","%1, ON RESTE EN ÉVEIL","%1, ALERTA","%1, ATTENZIONE"
STR_SENT_BEHAVIOUR_COMBAT_1,"%1, DANGER","%1, NEBEZPEČÍ","%1, GEFAHR","%1, NIEBEZPIECZEŃSTWO","%1, тревога!","%1, DANGER","%1, PELIGRO","%1, PERICOLO"
STR_SENT_BEHAVIOUR_STEALTH_1,"%1, STEALTH","%1, SKRYTĚ","%1, TARNUNG","%1, SKRADANIE","%1, сохраняйте скрытность!","%1, DISCRÉTION","%1, SIGILO","%1, DI NASCOSTO"
STR_SENT_OPEN_FIRE_1,"%1.1, FIRE AT WILL","%1.1, PALTE DLE LIBOSTI","%1.1, FEUER FREI","%1.1 STRZELAĆ BEZ ROZKAZU","%1.1, огонь по усмотрению!","%1.1, FEU À VOLONTÉ","%1.1, FUEGO A DISCRECIÓN","%1.1, FUOCO A VOLONTÀ"
STR_SENT_OPEN_FIRE_2,"%1.1, WEAPONS FREE","%1.1, PALBA POVOLENA","%1.1, WAFFEN FREI!","%1.1 MOŻNA STRZELAĆ","%1.1, оружие к бою!","%1.1, TIR AUTORISÉ","%1.1, TIRO LIBRE","%1.1, AUTORIZZAZIONE A FAR FUOCO"
STR_SENT_OPEN_FIRE_IN_COMBAT_1,"%1.1, GO, GO, GO!","%1.1, JEDU, JEDU, JEDU!","%1.1, LOS, LOS, LOS!","%1.1 NAPRZÓD, NAPRZÓD, NAPRZÓD!","%1.1, пошел, пошел, пошел!","%1.1, GO, GO, GO !","%1.1, ¡ADELANTE!","%1.1, VIA, VIA, VIA!"
STR_SENT_HOLD_FIRE_1,"%1.1, HOLD FIRE","%1.1,NESTŘÍLET","%1.1, FEUERPAUSE","%1.1 WSTRZYMAĆ OGIEŃ","%1.1, прекратите огонь!","%1.1, ON NE TIRE PAS","%1.1, NO DISPARES","%1.1, NON SPARARE"
STR_SENT_HOLD_FIRE_IN_COMBAT_1,"%1.1, CEASE FIRE","%1.1, ZASTAVIT PALBU","%1.1, FEUER EINSTELLEN","%1.1 PRZERWAĆ OGIEŃ","%1.1, отставить огонь!","%1.1, HALTE AU FEU","%1.1, ALTO EL FUEGO","%1.1, CESSARE IL FUOCO"
STR_SENT_HOLD_FIRE_IN_COMBAT_2,"%1.1, DON'T FIRE","%1.1, NESTŘÍLET","%1.1, NICHT FEUERN","%1.1 NIE STRZELAĆ","%1.1, не стрелять!","%1.1, NE TIREZ PAS","%1.1, NO DISPARES","%1.1, NON SPARARE"
STR_SENT_CEASE_FIRE_INSIDE_GROUP_1,"%1.1, CEASE FIRE","%1.1, NESTŘÍLET","%1.1, FEUER EINSTELLEN","%1.1 PRZERWAĆ OGIEŃ","%1.1, отставить огонь!","%1.1, HALTE AU FEU","%1.1, ALTO EL FUEGO","%1.1, CESSARE IL FUOCO"
STR_SENT_CEASE_FIRE_1,"%1 %2.1, CEASE FIRE","%1 %2.1, ZASTAVIT PALBU","%1 %2.1, FEUER EINSTELLEN","%1 %2.1, PRZERWAĆ OGIEŃ","%1 %2.1, отставить огонь!","%1 %2.1, HALTE AU FEU","%1 %2.1, ALTO EL FUEGO","%1 %2.1, CESSARE IL FUOCO"
STR_SENT_LOOSE_FORMATION_1,"%1.1, ENGAGE AT WILL","%1.1, ÚTOČIT DLE LIBOSTI","%1.1, ANGRIFF FREI","%1.1 ATAK BEZ ROZKAZU","%1.1, вступайте в бой по усмотрению!","%1.1, FEU À VOLONTÉ","%1.1, FUEGO A DISCRECIÓN","%1.1, FUOCO A VOLONTÀ"
STR_SENT_KEEP_FORMATION_1,"%1.1, DISENGAGE","%1.1, ZPÁTKY DO FORMACE","%1.1, ZURÜCKZIEHEN","%1.1 WYCOFAĆ SIĘ","%1.1, отступайте!","%1.1, DÉCROCHAGE","%1.1, RETIRADA","%1.1, DISINGAGGIO"
STR_SENT_UNIT_POS_DOWN_1,"%1.1, GO PRONE","%1.1, K ZEMI","%1.1, HINLEGEN","%1.1 PADNIJ","%1.1, ложись!","%1.1, À TERRE","%1.1, CUERPO A TIERRA","%1.1, A TERRA"
STR_SENT_UNIT_POS_DOWN_2,"%1.1, HIT THE DIRT!","%1.1, ZALEHNOUT","%1.1, HINWERFEN!","%1.1 NA GLEBĘ!","%1.1, на землю!","%1.1, AU SOL !","%1.1, ¡AL SUELO!","%1.1, AL SUOLO!"
STR_SENT_UNIT_POS_DOWN_3,"%1.1, GET DOWN","%1.1, K ZEMI","%1.1, AUF DEN BODEN","%1.1 NA ZIEMIĘ","%1.1, спускайтесь!","%1.1, À TERRE !","%1.1, ABAJO","%1.1, A TERRA"
STR_SENT_UNIT_POS_UP_1,"%1.1, STAND UP","%1.1, VZTYK","%1.1, AUFSTEHEN","%1.1 WSTAĆ","%1.1, подъем!","%1.1, DEBOUT","%1.1, ARRIBA","%1.1, RIALZARSI"
STR_SENT_UNIT_POS_AUTO_1,"%1.1, STAY LOW","%1.1, DRŽET SE PŘI ZEMI","%1.1, DUCKEN","%1.1 GŁOWY NISKO","%1.1, пригнитесь!","%1.1, RESTEZ BAS","%1.1, ABAJO","%1.1, STARE BASSI"
STR_SENT_UNIT_POS_CROUCHED_1,"%1.1, STAY CROUCHED","%1.1, ZŮSTAT PŘIKRČENÝ","%1.1, GEDUCKT BLEIBEN","%1.1 TRZYMAĆ SIĘ NISKO","%1.1, присесть!","%1.1, RESTEZ ACCROUPI","%1.1, AGÁCHATE","%1.1, RIMANERE BASSI"
STR_SENT_FORM_POS_ADVANCE_1,"%1.1, ADVANCE","%1.1, POSTOUPIT","%1.1, VORRÜCKEN","%1.1 NAPRZÓD","%1.1, выдвигайтесь!","%1.1, EN AVANT","%1.1, AVANCE","%1.1, AVANZARE"
STR_SENT_FORM_POS_STAY_BACK_1,"%1.1, STAY BACK","%1.1, DRŽTE SE ZPÁTKY","%1.1, ZURÜCKBLEIBEN","%1.1 NIE ZBLIŻAĆ SIĘ","%1.1, держитесь в стороне!","%1.1, RESTEZ SUR PLACE","%1.1, NO AVANCES","%1.1, STARE INDIETRO"
STR_SENT_FORM_POS_FLANK_LEFT_1,"%1.1, FLANK LEFT","%1.1, DRŽTE SE VLEVO","%1.1, VON LINKS FLANKIEREN","%1.1 OSKRZYDLIĆ Z LEWEJ","%1.1, уходите левее!","%1.1,CONTOURNEZ À GAUCHE","%1.1, FLANCO IZQUIERDO","%1.1, AFFIANCARE A SINISTRA"
STR_SENT_FORM_POS_FLANK_RIGHT_1,"%1.1, FLANK RIGHT","%1.1, DRŽTE SE VPRAVO","%1.1, VON RECHTS FLANKIEREN","%1.1 OSKRZYDLIĆ Z PRAWEJ","%1.1, уходите правее!","%1.1, CONTOURNEZ À DROITE","%1.1, FLANCO DERECHO","%1.1, AFFIANCARE A DESTRA"
STR_SENT_REPORT_STATUS_1,"%1.1, REPORT STATUS","%1.1, PODEJTE ZPRÁVU","%1.1, STATUS MELDEN","%1.1 RAPORT SYTUACYJNY","%1.1, доложите обстановку!","%1.1, RENDEZ COMPTE","%1.1, INFORME DE ESTADO","%1.1, A RAPPORTO"
STR_SENT_TEAM_1,"%1.1 IS %2","%1.1 JE %2","%1.1 IST %2","%1.1 JEST %2","%1.1 - %2!","%1.1 EST %2","%1.1 ES %2","%1.1 È %2"
STR_SENT_TEAM_2,"%1.1 ARE %2","%1.1 JSOU %2","%1.1 SIND %2","%1.1 SĄ %2","%1.1 - %2!","%1.1 SONT %2","%1.1 SON %2","%1.1 SONO %2"
STR_SENT_WATCH_TGT_1,"%1.1, WATCH THAT %2","%1.1, SLEDOVAT - %2","%1.1, %2 BEOBACHTEN","%1.1 UWAŻAĆ NA TO %2","%1.1, осторожней! %2!","%1.1, ATTENTION : %2","%1.1, VIGILA %2","%1.1, ATTENZIONE: %2"
STR_SENT_WATCH_DIR_1,"%1.1, WATCH %2","%1.1, OTOČIT NA %2","%1.1, %2 BEOBACHTEN","%1.1 UWAGA NA %2","%1.1, внимание! %2!","%1.1, ATTENTION : %2","%1.1, VIGILA %2","%1.1, ATTENZIONE: %2"
STR_SENT_WATCH_POS_1,"%1.1, WATCH %2","%1.1, OTOČIT K %2","%1.1, %2 BEOBACHTEN","%1.1 UWAGA NA %2","%1.1, внимание! %2!","%1.1, ATTENTION, %2","%1.1, VIGILA %2","%1.1, ATTENZIONE: %2"
STR_SENT_WATCH_AROUND_1,"%1.1, SCAN HORIZON","%1.1, SLEDOVAT HORIZONT","%1.1, HORIZONT ABSUCHEN","%1.1 OBSERWOWAĆ HORYZONT","%1.1, осмотрите местность!","%1.1, BALAYEZ L'HORIZON","%1.1, EXAMINA EL HORIZONTE","%1.1, SCRUTARE L’ORIZZONTE"
STR_SENT_NO_TARGET_1,"%1.1, NO TARGET","%1.1, ŽÁDNÝ CÍL","%1.1, KEIN ZIEL","%1.1 BRAK CELU","%1.1, нет целей.","%1.1, PAS DE CIBLE","%1.1, SIN OBJETIVO","%1.1, NESSUN OBIETTIVO"
STR_SENT_TARGET_1,"%1, TARGET THAT %2","%1, ZAMĚŘIT - %2","%1, ZIELE AUF %2","%1, CELOWAĆ W %2","%1, ваша цель - %2!","%1, VISEZ CE(TTE) %2","%1, APUNTA A %2","%1, MIRARE A %2"
STR_SENT_ENGAGE_1,"%1, ENGAGE THAT %2","%1, ÚTOK - %2","%1, ANGRIFF AUF %2","%1, ZAATAKOWAĆ %2","%1, для вас цель - %2!","%1, ENGAGEZ CE(TTE) %2","%1, ATACA A %2","%1, INGAGGIARE %2"
STR_SENT_FIRE_1,"%1, FIRE AT THAT %2","%1, PALTE - %2","%1, AUF %2 FEUERN","%1, STRZELAĆ DO %2","%1, огонь по цели: %2!","%1, FEU SUR CE(TTE) %2","%1, DISPARA A %2","%1, SPARARE A %2"
STR_SENT_ENGAGE_NO_TARGET_1,"%1, ENGAGE","%1, DO ÚTOKU","%1, ANGRIFF","%1, ZAATAKOWAĆ","%1, в бой!","%1, ENGAGEZ","%1, ATACA","%1, INGAGGIARE"
STR_SENT_FIRE_NO_TARGET_1,"%1, FIRE","%1, PAL","%1, FEUERN","%1, OGNIA","%1, огонь!","%1; FEU","%1, DISPARA","%1, FUOCO"
STR_SENT_CMD_DISMISS_1,"%1.1, DISMISS","%1.1, POHOV","%1.1, ENTLASSEN","%1.1 ODMASZEROWAĆ","%1.1, разойтись!","%1.1, ROMPEZ","%1.1, QUEDAS LIBRE","%1.1, ROMPERE LE RIGHE"
STR_SENT_CMD_MOVE_1,"%1.1, MOVE TO %2 %3","%1.1, PŘESUN NA %2 %3","%1.1, ZUM %2 AUF %3 BEWEGEN","%1.1 RUSZAĆ DO %2 %3","%1.1, перемещайтесь в зону: %2%3!","%1.1, REJOIGNEZ %2 %3","%1.1, VE HASTA %2 %3","%1.1, MUOVERSI VERSO %2 %3"
STR_SENT_CMD_MOVE_2,"%1.1, GO TO %2 %3","%1.1, PŘESUN NA %2 %3","%1.1, NACH %2 %3 GEHEN","%1.1 RUSZAĆ DO %2 %3","%1.1, двигайтесь в зону: %2%3!","%1.1, ALLEZ À %2 %3","%1.1, VE A %2 %3","%1.1, ANDARE A %2 %3"
STR_SENT_CMD_MOVE_FAR_1,"%1.1, MOVE TO %2","%1.1, PŘESUN NA %2","%1.1, NACH %2 BEWEGEN","%1.1 RUSZAĆ DO %2","%1.1, отправляйтесь в зону: %2!","%1.1, REJOIGNEZ %2","%1.1, VE HASTA %2","%1.1, MUOVERSI VERSO %2"
STR_SENT_CMD_MOVE_FAR_2,"%1.1, GO TO %2","%1.1, VPŘED NA %2","%1.1, NACH %2 GEHEN","%1.1 RUSZAĆ DO %2","%1.1, передвигайтесь в зону: %2!","%1.1, ALLEZ À %2","%1.1, VE A %2","%1.1, ANDARE A %2"
STR_SENT_CMD_MOVE_TO_1,"%1.1, MOVE TO %2 %3","%1.1, JDĚTE NA %2 %3","%1.1, ZUM %2 AUF %3 BEWEGEN","%1.1 RUSZAĆ DO %2 %3","%1.1, передвигайтесь в зону: %2 %3!","%1.1, REJOIGNEZ %2 %3","%1.1, VE HASTA %2 %3","%1.1, MUOVERSI VERSO %2 %3"
STR_SENT_CMD_MOVE_TO_2,"%1.1, GO TO %2 %3","%1.1, PŘESUN NA %2 %3","%1.1, ZUM %2 AUF %3 GEHEN","%1.1 RUSZAĆ DO %2 %3","%1.1, двигайтесь в зону: %2 %3!","%1.1, ALLEZ À %2 %3","%1.1, VE A %2 %3","%1.1, ANDARE A %2 %3"
STR_SENT_CMD_MOVE_NEAR_1,"%1.1, MOVE TO THAT %2 AT %3","%1.1, VPŘED, SMĚR %2 %3","%1.1, ZUM %2 AUF %3 BEWEGEN","%1.1 RUSZAĆ DO %2  %3","%1.1, двигайтесь в %2 на %3!","%1.1, REJOIGNEZ CE(TTE) %2 À %3","%1.1, VE HASTA %2 EN %3","%1.1, MUOVERSI VERSO %2 A %3"
